"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY010G","PY020G","PY021G","PY030G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PC170","PC180"
"2012","AT",29301,549.884615384615,,"4","2012","10","3",1972,"1","2","1","AT","2",,"3","1","1","1",,,"2","81","40",,"f",,,"1","1","2",,,"15","1","2","2","2",,"2",,30020,0,0,315,0,0,0,0,0,0,0,0,0,1365,"2",
"2012","AT",52101,549.884615384615,,"5","2012","26","6",1931,"2","4","1","AT","2",,"2","7","2","1",,,"2","96","40",,,,,"2","2",,,,"15","3","2","3","2",,"2",,0,0,0,22048,300,8386,0,0,11761,0,0,0,0,,"1",
"2012","AT",168201,549.884615384615,,"6","2012","15","3",1952,"1","3","3","AT","2",,"2","7","1",,,,"3","72",,,,,"12","1","1","2",,"3","15","3","2","3","2",,"2",,0,0,0,0,0,0,0,0,27031,0,0,0,0,,"2",
"2012","AT",296001,549.884615384615,,"4","2012","12","1",1947,"2","2","3","AT","2",,"2","10","1","1","1",,,"91",,,"b-e",,,"1",,,,"3","16","4","1","2","2",,"2",,0,0,0,619,0,0,0,0,8762,0,0,0,0,1900,"2",
"2012","AT",315201,549.884615384615,,"6","2012","9","1",1958,"1","2","1","AT","2",,"3","1","1",,,,"3","94",,,"b-e",,"3","1",,"2",,,"23","1","2","2","2",,"2",,21951,0,0,0,0,0,0,0,0,0,0,0,0,3500,"1",
"2012","AT",339301,549.884615384615,,"6","2012","13","11",1943,"2","4","2","AT","2",,"2","7","1",,,,"3","95",,,"p",,"13","1","2","2",,,"20","3","1","3","2",,"2",,51,895,0,0,0,0,0,0,18804,0,0,0,0,380,"2",
"2012","AT",435801,549.884615384615,,"6","2012","11","12",1952,"1","2","3","AT","2",,"3","7","1",,,,"1","41","70",,,,"1","1","1","2",,,"14","2","1","3","2",,"2",,0,0,0,1450,0,0,0,0,0,0,0,51870,0,2928,"2",
"2012","AT",574201,549.884615384615,,"5","2012","8","4",1975,"2","2","3","AT","2",,"3","1","2","2","2",,"3","61",,,"q",,"1","1","1",,,,"15","1","2","3","2",,"2",,10969,0,0,2662,0,0,0,0,0,0,0,0,0,,"2",
"2012","AT",751201,549.884615384615,,"6","2012","15","9",1948,"2","4","1","AT","2",,"3","7","1","1",,,"1","51","40",,"q",,,"1","1","2",,,"19","2","2","2","2",,"2",,0,0,0,132,0,0,0,0,30474,0,0,0,0,,"2","8"
"2012","AT",805401,549.884615384615,,"4","2012","8","4",1964,"1","2","3","AT","2",,"3","1","2","1",,,"3","91","40",,"b-e",,"13","1","1","2",,,"30","1","2","3","2",,"2",,59863,0,0,681,0,0,0,0,0,0,0,0,0,1800,"2","3"
"2012","AT",873501,549.884615384615,,"4","2012","11","6",1948,"2","2","3","AT","2","3","2","7","2","1",,,"3","83","39",,,,,,"2",,,"4","15","3","2","2","2",,"2",,0,238,0,480,0,0,0,0,15638,0,0,0,0,,"2",
"2012","AT",912901,549.884615384615,,"6","2012","6","11",1964,"1","1","3","AT","2",,"6","5","2",,,,"3","52","30",,"q","3",,,"2","2","2","4","21","2","1","3","2",,"2",,0,0,0,4585,240,0,0,5131,0,0,0,14081,0,,"2","9"
"2012","AT",917901,549.884615384615,,"4","2012","10","12",1977,"1","1","1","AT","2",,"3","1","1",,,,"3","26","60",,"k",,"12",,"1","2",,,"15","4","2","3","2",,"2",,87537,0,0,3208,0,0,0,0,0,0,0,0,0,1980,"2","7"
"2012","AT",1005801,549.884615384615,,"5","2012","14","3",1931,"2","4","3","AT","2",,"2","7","1",,,,"3","52","50",,,,"4","1","1","2",,,"14","2","1","3","2",,"2",,0,0,0,9893,0,0,4425,0,22113,0,0,0,0,1385,"1","10"
"2012","AT",1056801,549.884615384615,,"4","2012","5","12",1964,"1","3","1","AT","2",,"3","3","1",,,,"3","NAs","60",,"i",,"13","1",,,,,"28","2","2","3","2",,"2",,0,0,0,0,0,174594,0,0,0,0,0,0,0,,"2","7"
"2012","AT",1078901,549.884615384615,,"5","2012","9","9",1943,"2","2","3","AT","2",,"3","7","1","1",,,"3","93","60",,"p","6","6","1","2",,,,"15","1","1","1","1",,"2",,2657,540,0,0,0,0,0,0,17550,0,0,0,0,,"2",
"2012","AT",1108101,549.884615384615,,"6","2012","8","6",1976,"1","2","3","AT","2",,"5","1","1",,,,"3","23","38",,,,"11","1","2","2",,,"15","3","2","3","2",,"2",,34726,0,0,6085,0,0,0,0,0,0,0,0,0,3162,"2",
"2012","AT",1244501,549.884615384615,,"5","2012","16","1",1961,"1","5","2","AT","2",,"5","1","1",,,,"1","21","45",,"k",,,,"2","2",,,"18","1","2","1","2",,"2",,33039,0,0,2274,0,0,0,0,0,0,0,0,0,,"2",
"2012","AT",1455201,549.884615384615,,"5","2012","10","1",1933,"1","4","3","AT","2",,"2","7","2","1",,,"3","91","20",,,,,,"2",,,"4","21","3","1","3","2",,"2",,0,0,0,16398,0,0,0,0,13787,0,0,0,0,,"2","7"
"2012","AT",1465301,549.884615384615,,"3","2012","8","4",1931,"1","2","1","AT","2",,"3","7","1",,,,"3","74","35",,,,"12","1","1","2",,,"21","1","2","3","2",,"2",,0,0,0,9895,0,0,0,0,0,0,0,30750,0,1564,"2",
"2012","AT",1508201,549.884615384615,,"7","2012","6","6",1952,"1","5","2","AT","2",,"5","1","1",,,,"3","26","40",,"p",,,"1","1","2",,,"19","2","1","3","2",,"2",,32076,0,0,0,0,0,0,0,0,0,0,0,0,,"1",
"2012","AT",1514501,549.884615384615,,"7","2012","9","4",1931,"1","4","2","AT","2",,"3","7","2","1",,,"3","71","48",,,,"11","1","2","2",,"4",,"3","2","3","2",,"2",,0,0,0,2584,0,0,0,0,25200,0,0,0,0,,"2",
"2012","AT",1574001,549.884615384615,,"7","2012","6","9",1931,"1","1","3","AT","2",,"3","7","1",,,,"3","71","50",,"b-e",,"13","1","1",,,,"14","3","2","3","2",,"2",,0,0,0,0,1800,0,0,0,17449,20126,0,0,0,3993,"2",
"2012","AT",1726301,549.884615384615,,"6","2012","12","12",1931,"2","4","1","AT","2",,"2","7","1","1",,,,"91",,,,,"13","1","1","1",,,"19","1","1","3","2",,"2",,0,1159,0,0,1200,0,0,0,19700,0,0,1517,0,1350,"2",
"2012","AT",1788001,549.884615384615,,"4","2012","11","3",1950,"1","5","3","AT","2",,"3","7","1",,,,"3","21","39",,,,"1","1","2","2",,,"15","2","1","3","2",,"2",,0,0,0,7289,2000,0,0,0,0,0,0,70148,0,,"1",
"2012","AT",1837801,549.884615384615,,"6","2012","12","9",1954,"1","2","1","AT","2",,"4","1","1","1",,,"3","35",,,"o",,,"1",,"2",,"1","16","3","2","3","2",,"2",,21761,0,0,0,0,0,0,0,0,0,0,0,0,,"2","7"
"2012","AT",1880301,549.884615384615,,"6","2012","12","11",1960,"2","3","3","EU","2",,"2","1","2",,,,"3","NAs",,,"i",,,,"2",,,,"15","1","2","2","2",,"2","1",19331,0,0,0,0,0,0,0,0,0,0,0,0,,"1",
"2012","AT",1998001,549.884615384615,,"4","2012","19","9",1956,"1","2","3","AT","2",,"3","1","2",,,,"2","44","50",,"h",,"13","1","1","2",,,"27","1","2","3","2",,"2",,58393,446,0,0,1800,0,0,0,0,0,0,0,0,3000,"2",
"2012","AT",2094701,549.884615384615,,"5","2012","12","6",1958,"1","2","2","AT","2",,"5","2","1",,,,"3","52","30",,"p",,,"1","2","2",,,"27","3","2","3","2",,"2",,22421,0,0,0,0,0,0,0,0,0,0,0,0,847,"1",
"2012","AT",2109801,549.884615384615,,"7","2012","12","1",1946,"1","2","2","AT","2",,"3","7","1","1",,,"3","93",,,,,,"1",,,,,"15","1","2","3","2",,"2",,0,0,0,0,0,0,0,0,19545,0,0,0,0,,"1","7"
"2012","AT",2126201,549.884615384615,,"5","2012","9","11",1939,"2","2","1","AT","2",,"2","7","1",,,,"3","93",,,,,"13","1",,"2",,,"17","3","2","3","2",,"2",,0,0,0,7704,0,0,0,0,18054,0,0,0,0,,"1",
"2012","AT",2174001,549.884615384615,,"4","2012","7","12",1959,"2","2","3","AT","2","5","3","2","2","1",,,"3","91",,,"p",,,"1",,"2","7","4","19","2","2","3","2",,"2",,13586,499,0,21526,0,0,0,0,0,0,0,0,0,2928,"2",
"2012","AT",2242301,549.884615384615,,"5","2012","6","3",1964,"1","2","1","AT","2","3","3","1","1","1",,,"3","41","10",,"h",,,,"2",,"7",,"23","4","2","1","2",,"2",,14206,0,0,70,1500,0,0,0,0,0,0,0,0,3776,"2",
"2012","AT",2307501,549.884615384615,,"5","2012","11","8",1958,"1","1","1","AT","2",,"3","1","1",,,,"3","93",,,"b-e",,"13","1",,"2",,,"15","2","2","3","2",,"2",,34565,540,,0,0,0,0,0,0,0,0,0,0,3500,"2","8"
"2012","AT",2325901,549.884615384615,,"6","2012","11","7",1931,"1","4","1","AT","2",,"3","7","2",,,,"3","74","39",,,,"1",,"2",,,,"14","3","1","3","2",,"2",,0,0,0,0,0,0,0,0,0,18386,0,0,0,3776,"2","8"
"2012","AT",2365401,549.884615384615,,"6","2012","10","1",1972,"1","1","1","AT","2",,"3","1","1",,,,"2","41","14",,"l-n",,"11","1","2",,,,"16","2","1","2","2",,"2",,10076,0,,2545,0,13987,0,0,0,0,0,0,0,,"2",
"2012","AT",2447701,549.884615384615,,"6","2012","12","9",1952,"1","2","3","AT","2",,"3","7","1","1",,,"3","52","50",,"o",,,"1",,"2",,,"15","2","2","3","2",,"2",,0,1203,0,0,0,0,0,0,0,0,0,43376,0,2100,"2",
