"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY010G","PY020G","PY021G","PY030G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PW010","PW020","PW030","PW040","PW050","PW060","PW070","PW080","PW090","PW100","PW110","PW120","PW130","PW140","PW150","PW160","PW170","PW180","PW190","PW200","PW210","PW220","PD020","PD030","PD050","PD060","PD070","PD080","PD090","PW005"
"2013","AT",29501,575.635,,"3","2013","15","12",1947,"2","4","1","AT","2",,"2","7","1","2",,,"3","93",,,,"6",,"1",,,,"5",,"1","1","3","2",,"2",,0,0,0,2144,0,0,0,0,16664,7355,0,0,0,1550,"8","10","7","9","2","5","3","4",,,,"10","1","8","8","9",,"1","6","9",,"1","1","1","1","3","1","3",,"661.80035863259"
"2013","AT",52401,575.635,,"3","2013","16","2",1954,"1","2","3","AT","2",,"3","1","1","1",,,"3","13","45",,"k",,"13",,"1","2",,"1","21","2","1","3","2",,"2",,64186,0,0,0,360,0,0,0,0,0,0,0,0,,"8","6","7","10",,"5","3","5","3",,,,,"9","6",,"1","1","7","10","10","2","1","1","2","3","1","1","1","569.025424235525"
"2013","AT",169301,575.635,,"4","2013","19","6",1953,"1","2","3","AT","2",,"2","5","2",,,,"3","53",,,,,,"1","2",,,,"19","3","1","3","2",,"2",,16530,0,0,3698,0,0,0,0,0,0,0,0,0,2000,"4","8","8","9","3","2","2",,"4",,,"10","7","5","9","10","1","1",,"8","9","1","2","1","1","1","1","1","3","747.585658876577"
"2013","AT",297901,575.635,,"2","2013","32","1",1952,"1","1","3","AT","2",,"3","7","1",,,,"3","34",,,,,,"1","2","1",,,"14","2","2","3","2",,"2",,0,0,0,0,0,49318,0,0,0,0,0,0,0,,"8",,"8","2","3","4",,"4","2","9",,"9","5","8","7","10","1","1","3","6","10","3","1","1","1","1","1","1","6","686.036034466162"
"2013","AT",317301,575.635,,"3","2013","15","7",1946,"1","5","1","AT","2",,"3","7","2","1",,,"2","33","39",,"q",,"1","1","2","2",,,"15","4","2","3","2",,"2",,0,0,0,2942,1200,0,0,0,17418,0,0,0,0,,"8","9","9","10","3","3","1","3","1",,,"10","10","4","8","10","1","1","6","5","10","2","1","1","1","1","1","1","6","345.676098081696"
"2013","AT",341601,575.635,,"5","2013","13","6",1958,"1","2","3","AT","2",,"2","1","1",,,,"3","43",,,"k",,"12","1","1","2",,,"21","1","1","2","2",,"2",,29320,238,0,5704,600,0,0,0,0,0,0,0,0,1600,"10",,"8","7","5","3","4","4","1","9",,"10","1",,"7","10",,,"5","9","10","3","1","1","3","1","1","1","5","1777.0002924005"
"2013","AT",438701,575.635,,"6","2013","26","11",1952,"2","2","3","AT","2",,"3","7","2",,,,"4","52",,,,,"13","1","1","2",,,"20","1","2","2","2","6","2",,0,0,0,3731,0,58,0,0,0,0,0,13275,0,,"8","4","9","10","5","4",,"5","1","9",,"7","7",,"8","9","1","1","8",,"2","1","1","1","1","3","1","1","1","783.188852151787"
"2013","AT",578001,575.635,,"3","2013","27","10",1947,"2","2","3","EU","2",,"3","7","2",,"2",,"3","41",,,,,,,,,,"1",,"2","2","3","2",,"2",,0,0,0,12551,1800,0,0,0,0,0,0,0,0,3700,"6","7","10","9","3","5","3","4","2",,"7","10","4",,"10","7","1","1","6","10","10",,"3","1","1","1","2","1","5","766.998446888056"
"2013","AT",756101,575.635,,"6","2013","50","6",1984,"2","1","3","AT","2",,"4","1","1","1",,,"3","52","40",,"o",,"13","1","2","2",,,"22","3","2","3","2",,"2",,35267,0,0,1517,700,0,0,0,0,0,0,0,0,1200,"10","10","3","8","4","4","2","4","3","10","10","7","0","6","8","7","1","1","5","9","10","1","1","1","1","1","1","1","5","263.485808000754"
"2013","AT",810701,575.635,,"5","2013","27","4",1932,"2","4","3","AT","2",,"2","10","1",,,,"3","34",,,,,"8","1","1","2",,,"15","1","1","3","2",,"2",,0,0,0,11853,0,0,0,0,13894,0,0,0,0,,"9",,"4","10","5","5","2","4","3",,,,"0","4","7","7","1","1","7","7","10","1","1","1","1","1","1","3","1",
"2013","AT",879201,575.635,,"6","2013","44","1",1984,"2","1","3","AT","2",,"4","1","2","1","2",,,"31","15",,"l-n",,"10","1",,"2",,,,"1","1","2","2",,"2",,0,594,0,6105,0,0,0,0,0,0,0,0,0,,"5","8","8","9","1","5","2","3","4",,"7","10","5","9","8","8","1",,"7","9",,"1","1","2","3","1","1","1","1","936.378177457594"
"2013","AT",918901,575.635,,"4","2013","9","5",1947,"2","2","1","EU","2",,"3","7","2","2","2",,"3","33",,,"o",,,"1","1",,,"11","20","2","2","3","2",,"2",,0,0,0,5133,0,0,0,0,0,0,0,0,0,,"8","8","0","7","4","4","2","3",,,,"5","8","6","8","10","1",,"5",,"3",,"1","1","1","3","1","1","6","1750.80827839067"
"2013","AT",923901,575.635,,"4","2013","20","8",1943,"2","2","3","AT","2",,"4","7","1",,,,"3","25",,,,,,"1","1","2",,,"14","3","2","3","2",,"2",,0,0,0,1089,0,0,0,0,19349,0,0,0,0,3000,"10","9","5","8","4","5","3","3","2",,,"7","10","10","8","10","1","1","2","7","8",,"1","1","1","3","1","1","3","485.892226928556"
"2013","AT",1012401,575.635,,"4","2013","21","2",1984,"2","1","3","AT","1","4","4","1","2","2",,,"3","53",,,"o",,,"1",,,,,"15","1","2","3","2",,"2",,0,0,0,0,300,0,0,0,0,0,0,0,0,150,"8","9","3","10","4","2","2","3","3","6",,"9","2","1",,"6","1","1","2",,"10","2","3","1","1","1","2","1","6","549.506650440977"
"2013","AT",1063701,575.635,,"5","2013","11","2",1932,"2","4","3","AT","2",,"2","7","1","1",,,"3","14","42",,,,"5",,"2","2",,,"16","1","2","2","2",,"2",,0,0,0,0,0,0,0,0,15155,0,1179,0,0,,"8","7","8","8","4","5",,"4","2",,"10",,"6","3","8","10","1","1","7",,"10","3","1","1","2","2","3","1","6","938.041394041263"
"2013","AT",1086001,575.635,,"5","2013","37","3",1932,"2","4","3","AT","2",,"2","7","1","1",,,"3","52","50",,,,"6","1","2",,,,"21","1","2","3","2",,"2",,0,0,0,5890,0,0,0,0,22748,0,0,0,0,2147,"8","9","6","8","5","5","2","5",,,,"10","3","5","7","7","1",,"7","8","7","3","1","1","1","2","1","1","1","1416.91070241462"
"2013","AT",1115401,575.635,,"4","2013","18","10",1967,"2","2","1","AT","2",,"3","1","1",,,,"3","61","25",,"b-e",,,,,"2",,"1","16","2","2","2","2",,"2",,21447,0,0,15904,0,0,0,0,0,0,0,0,0,,"10","2","8","9","4","3","1","4","1",,,"6","5","6","8","9","1","1","6","6","6",,"1","1","3","3","2","1","5","538.978974996646"
"2013","AT",1252701,575.635,,"3","2013","18","9",1984,"2","1","1","AT","2",,"4","1","1",,,,"3","52","48",,"o",,"13","1","1","1",,,"24","1","1","3","2",,"2",,40169,0,0,0,950,0,0,0,0,0,0,0,0,,"6","8","9","8","3","5",,"5","2",,,"3","5","9","10","4","1",,,"5","10","1","1","1","3","1","1","1","6","339.260188348825"
"2013","AT",1464701,575.635,,"5","2013","13","1",1939,"2","4","3","AT","2",,"2","7","2",,,,,"82","40",,,,,"1",,,,,"21","4","2","3","2",,"2",,0,238,0,0,5000,0,0,0,8193,0,0,0,0,,"2","8","6","5","4","4",,"5","2","10","9","8","2","6","9","10","1","1","9","4","10","1","1","1","1","1","1","1","5",
"2013","AT",1475001,575.635,,"6","2013","12","5",1943,"2","4","1","AT","2",,"2","7","1",,"1",,"3","33",,,,,"11","1","2","2",,"10","22","2","1","3","2",,"2",,0,0,0,238,1200,0,4628,0,18490,0,0,0,0,2134,"7","9","10","10","3","4","3","3","4",,"8","10",,"8","3","8","1","1","7","9",,"1","1","1","1","1","1","1","1","512.199992552435"
"2013","AT",1518101,575.635,,"5","2013","15","9",1964,"1","2","3","AT","2",,"3","3","1","1",,,"3","72","50","2","f","6","12","1","2","2",,,"19","2","2","3","2",,"2",,0,0,0,779,0,36650,0,0,0,0,0,0,0,1500,"5","5","10",,"4","4","2","5","2",,"7","6","5","6","8","10","1",,"5","8","9","1","1","1","1","3","1","1","1","1112.76982806055"
"2013","AT",1524501,575.635,,"3","2013","27","6",1932,"2","4","3","AT","2",,"2","7","2",,,,"3","NAs",,,,,,"1",,,,,"14","1","2","1","2",,"2",,0,0,0,19054,0,0,0,0,14687,0,0,0,0,,"10","9","3","8","4","4","1","4",,"8","10","8",,"3","5","8","1","1","5","8","5","3","1","1","1","1","3","1","6","4144.15108717914"
"2013","AT",1584401,575.635,,"4","2013","53","1",1984,"2","1","3","AT","2",,"4","1","2",,,,"3","33",,,"l-n",,"13","1","1",,,,"15","2","2","1","2",,"2",,38606,0,0,0,0,0,0,0,0,0,0,0,0,600,"3","8",,"10","4","5","3","5","3",,,"9","1","9","6","7","1","1",,"9","10","2","1","1","1","1","1","1","1","614.686889311083"
"2013","AT",1737701,575.635,,"4","2013","35","8",1947,"2","2","1","AT","2",,"3","7","1",,"2","1","3","11",,,"f",,"13","1","2","2",,"3","15","2","2","2","2",,"2",,0,545,0,7051,0,0,0,0,8938,0,0,0,0,,"8","3","9","9","3","4","4","3","4","9","7","10","6",,"10","8","1","1",,"9",,"3","1","1","1","1","2","1","6","688.198263443772"
"2013","AT",1799801,575.635,,"6","2013","8","7",1943,"2","2","1","AT","2",,"2","7","2","2",,,"3","93",,,"r-u",,"13",,"2",,,,"14","2","1","3","2",,"2",,0,0,0,1432,0,0,0,0,5298,0,0,0,0,1200,"7","9","8",,"4","4","3","5","2","8","7","7",,"7","0","7","1","1","8","7","10","1","1","1","1","3","3","1","5",
"2013","AT",1849901,575.635,,"5","2013","14","8",1943,"2","2","2","AT","2",,"0-1","11","2","1",,,"3","52",,,,,,,"2",,,,"15","1","2","2","2",,"2",,0,0,0,0,0,0,0,0,0,0,0,0,0,,"10","7","6","10","4","3","3",,"2",,"8","8","10",,"9","9","1","1","4","10","9","1","1","1","2","1","1","2","1","425.803999041143"
"2013","AT",1892701,575.635,,"4","2013","18","10",1950,"1","2","1","AT","2",,"3","7","1",,,,"3","92","40",,,,"5","1",,,,,"23","1","1","2","2",,"2",,0,0,0,8731,0,0,0,0,40932,0,0,0,0,,"8","8",,"10",,"4","4","3","2",,,"8","6","2","10","8",,"1","6","10","10","1","3","1","3","1","1","3","1","1919.58971011154"
"2013","AT",2011101,575.635,,"3","2013","40","4",1979,"1","1","3","AT","2",,"5","4","1",,,,"3","23","40",,,,"4","1","2","2",,,"19","3","1","3","2",,"2",,0,238,0,0,0,63397,0,0,0,0,0,0,0,,"8","5",,"10","5","4","2","4","2","7","6","5","5",,"5",,"1","1",,"10","6","1","1","1","1","1","3","1","1","756.230476908046"
"2013","AT",2108401,575.635,,"5","2013","16","6",1943,"2","2","3","AT","2",,"3","7","2",,,,"2","41",,,,,,"1","1","2",,,"15","2","1","3","2",,"2",,0,0,0,8,840,0,0,0,7401,13035,0,0,0,3500,"10","7","3","5",,"3","1","4","2","9","7",,"2","10","5","5",,,"8","8","10",,"1","1","1","1","1","3","5","643.938760882345"
"2013","AT",2123601,575.635,,"3","2013","22","12",1959,"2","1","3","AT","2",,"3","7","2","1",,,"3","61","15",,,,,"1",,,,"10","17","4","2","2","2",,"2",,0,0,0,8184,0,0,0,0,0,0,0,12870,0,,"8","5","7","6","5","3","1","4","2",,"10","10","5","6","7",,"1","1","5","7","6","2","1","1","1","3","1","1","6","418.257458202657"
"2013","AT",2140101,575.635,,"4","2013","13","12",1986,"2","2","3","AT","2",,"4","1","2",,,,"3","42",,,"g",,"6","1","2",,,,"16","4","1","3","2",,"2",,6438,0,0,0,0,0,0,0,0,0,0,0,0,,"8","8","10","7","4","5",,"4",,,,,"0","8","8","10","1",,"5","8","10","3","1","1","1","1","1","1","5","2203.45801576574"
"2013","AT",2188301,575.635,,"7","2013","15","6",1979,"1","2","1","AT","2",,"2","1","1",,,,"1","93",,,"b-e",,"13","1","1","2",,,"22","2","2","3","2",,"2",,70600,0,,4484,0,0,0,0,0,0,0,0,0,4300,"10","4","5",,"3","4","2","5","2","9",,"6","5","8","10","10","1",,,,"10","1","1","1","1","1","1","1","6","485.100576020672"
"2013","AT",2257001,575.635,,"3","2013","26","6",1932,"1","2","3","AT","2",,"2","7","1","1",,,"2","71","16",,,"6","13","1",,,,,"15","1","1","3","2",,"2",,0,0,0,9124,324,0,0,0,13885,0,0,0,0,,"10","7","9","7","3","2","5","3","3","6",,"8","3","3","7","8","1","1",,"10","10","2","1","1","1","1","1","1","6","1238.86899677835"
"2013","AT",2322601,575.635,,"4","2013","16","11",1947,"2","2","1","AT","2",,"2","7","1","1",,,"3","91","40",,,,"13","1","1","2",,,"18","4","2","3","2",,"2",,0,0,0,8572,0,0,0,0,22056,0,0,0,0,,"9","5","8","0","5","3","3","5","4","6","10","10","5","7","6","10","1","1","8","8","10","1","1","1","1","2","1","1","6","395.631067327438"
"2013","AT",2341201,575.635,,"4","2013","12","6",1959,"2","5","3","AT","2",,"3","2","1",,,,"3","52",,,"h",,,,"2","2","3",,"15","4","2","2","2",,"2",,17984,1503,0,7523,0,0,0,0,0,0,0,0,0,2684,"8","6","7",,"3","3","3","5","1",,,,"7","7","6","8","1","2","6","9","10","3","1","1","1","3","2","1","5","1979.71737151818"
"2013","AT",2380901,575.635,,"5","2013","27","5",1932,"2","4","1","AT","2",,"2","7","1","1",,,"3","61","40",,,,,"1","1","2",,,"19","4","2","3","2",,"2",,0,0,0,6000,0,7399,0,0,12174,0,0,0,0,2100,"7","9",,"5",,"5","1","5","3",,"2","10","5","3","10","7","2","1","5","10","8","1","1","1","1","1","1","1","5","624.45245370185"
"2013","AT",2463701,575.635,,"4","2013","12","12",1938,"2","4","3","AT","2",,"2","7","1",,,,"2","81",,,,,"13","1","2","2",,"4","15","2","2","3","2",,"2",,0,0,0,29193,0,0,0,0,17182,10589,0,0,0,1028,"8","6","4","10","1","5","2",,"4","8","10","8","7","7","7","9","1","1","8","3","9","2","1","1","1","1","1","1","1","833.680763863139"
"2013","AT",2539301,575.635,,"3","2013","19","6",1984,"2","1","3","AT","2",,"4","1","1",,,,"3","32",,,"l-n",,"6",,"2","1",,,"15","1","2","3","2",,"2",,1667,1243,0,0,0,0,0,33387,0,0,0,0,0,,"9",,"8","8","5","3","4","4","2",,"10","10","5","4","7","9","1","1","5",,"8","2","1","1","1","1","1","1","6","715.604459503999"
"2013","AT",2582601,575.635,,"6","2013","10","4",1964,"1","2","3","AT","2",,"4","1","1",,,,"3","71","40",,"g",,"10","1","1","2",,,"17","3","1","2","2",,"2",,43948,537,0,0,2256,0,0,0,0,0,0,0,0,,,"7","8","9","5","4","3","5","2",,,"8","0","3",,"8","1",,"2","8","9","3","1","1","1","3","1","1","5","932.733742921056"
"2013","AT",2607001,575.635,,"4","2013","31","8",1940,"2","4","1","AT","2",,"2","7","2","1",,,"3","53",,,,,,,,,,"1","20","2","2","2","2",,"2","8",0,0,0,0,180,0,0,0,13680,0,0,0,0,,"6","7","6",,"4","4","2","4","5","10",,"4","5","4","10","9","1","1","6","9","10","1","1","1","1","1","1","1","6","1596.79492557825"
