"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PC170","PC180"
"2012","BE",221,616.136363636364,"NA","2","2012","13","1",1931,"1","4","3","BE","2","NA","4","7","NA","1","NA","NA","3","2","NA","NA","NA","NA","5","NA","2","NA","NA","NA","NA","2","2","2","2","NA","2","1",1000,1,0,0,0,9687,1,0,0,0,0,950,0,0,0,0,1,"1",80,22,"1","2","2","NA"
"2012","BE",281,616.136363636364,"NA","2","2012","12","4",1948,"2","2","1","BE","2","NA","5","1","1","NA","NA","NA","3","4","45","2","l-n","NA","13","1","2","2","NA","NA","24","1","2","2","2","NA","2","NA",0,1,73366,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",63,28,"1","2","1","NA"
"2012","BE",361,616.136363636364,"NA","2","2012","3","2",1956,"1","2","1","BE","2","NA","6","1","1","NA","NA","NA","1","2","32","NA","r-u","NA","11","NA","2","2","NA","NA","22","2","2","3","2","NA","2","1",0,1,32984,116,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",55,36,"1","NA","2","NA"
"2012","BE",431,616.136363636364,"NA","2","2012","3","1",1947,"2","5","3","BE","2","NA","2","8","NA","NA","NA","1","3","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","16","4","1","2","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,0,0,0,10401,0,1,"1",64,43,"1","6","2","NA"
"2012","BE",501,616.136363636364,"NA","2","2012","9","1",1985,"2","1","1","BE","2","NA","5","1","NA","1","NA","NA","3","2","NA","NA","q","3","NA","1","2","NA","NA","NA","15","2","2","1","2","NA","2","NA",0,1,19532,0,0,8038,1,0,0,0,0,0,0,0,0,0,1,"1",26,50,"1","7","1","NA"
"2012","BE",541,616.136363636364,"NA","2","2012","7","1",1986,"1","2","3","BE","2","NA","3","5","NA","NA","NA","NA","2","3","38","NA","NA","NA","NA","NA","2","NA","NA","NA","15","2","1","3","2","NA","2","NA",2786,1,6440,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",25,54,"1","2","2","NA"
"2012","BE",651,616.136363636364,"NA","1","2012","3","2",1978,"2","1","1","BE","2","NA","5","6","NA","2","2","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","3","2","NA","2","NA",0,1,0,0,0,20800,1,0,0,0,0,0,0,0,0,0,1,"1",33,65,"1","7","2","NA"
"2012","BE",731,616.136363636364,"NA","1","2012","6","2",1975,"2","2","1","EU","2","NA","3","5","1","1","NA","NA","1","5","NA","NA","NA","NA","13","NA","NA","NA","NA","NA","21","2","1","3","2","NA","2","5",0,1,0,0,0,0,1,0,0,0,9975,0,0,0,0,0,1,"1",36,73,"1","2","2","6"
"2012","BE",771,616.136363636364,"NA","2","2012","8","1",1990,"1","1","1","Other","1","NA","2","6","NA","2","2","NA","NA",,"NA","NA","NA","NA","NA","NA","2","NA","NA","1","NA","1","2","2","2","NA","2","NA",1467,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",21,77,"1","5","2","NA"
"2012","BE",791,616.136363636364,"NA","4","2012","8","3",1948,"2","1","2","Other","2","NA","2","11","NA","2","2","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","19","3","1","3","2","NA","2","NA",0,1,0,0,0,21845,1,0,0,0,0,0,0,0,0,0,1,"1",63,79,"1","7","2","5"
"2012","BE",831,616.136363636364,"NA","2","2012","4","3",1963,"2","2","3","BE","2","NA","2","1","1","NA","NA","NA","3","9","30","NA","r-u","NA","NA","1","2","2","NA","NA","20","2","2","3","2","NA","2","NA",500,1,23782,585,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",48,83,"1","6","2","NA"
"2012","BE",881,616.136363636364,"NA","2","2012","8","2",1931,"2","4","2","BE","2","NA","1","7","1","NA","NA","NA","3","2","NA","NA","NA","NA","13","1","2","NA","NA","NA","17","2","NA","3","2","NA","2","NA",451,1,35843,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",80,88,"1","5","2","NA"
"2012","BE",1151,616.136363636364,"NA","2","2012","6","1",1975,"1","2","1","BE","2","NA","5","5","NA","1","2","NA","3","4","NA","NA","NA","NA","1","1","NA","2","NA","NA","17","1","1","2","2","NA","2","NA",2001,1,0,0,0,0,1,0,0,0,12018,0,0,0,0,438,1,"1",36,115,"1","7","2","7"
"2012","BE",1421,616.136363636364,"NA","2","2012","12","1",1981,"1","1","3","BE","2","NA","5","1","1","NA","NA","NA","3","2","60","NA","b-e","NA","13","1","1","2","NA","NA","24","2","2","3","2","NA","2","NA",0,1,57678,1473,25,0,1,0,0,0,0,0,0,0,0,0,1,"1",30,142,"1","2","1","6"
"2012","BE",1461,616.136363636364,"NA","3","2012","4","1",1988,"1","1","1","BE","1","3","5","6","NA","2","2","NA","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","3","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",23,146,"1","2","2","NA"
"2012","BE",1551,616.136363636364,"NA","1","2012","11","3",1958,"1","5","1","BE","2","NA","5","1","1","1","NA","NA","3","2","38","NA","o","4","13","2","2","2","NA","NA","15","1","2","3","2","NA","2","NA",0,1,24842,483,0,20213,1,0,0,0,0,0,0,0,0,0,1,"1",53,155,"1","6","2","NA"
"2012","BE",1591,616.136363636364,"NA","2","2012","13","4",1982,"1","1","3","BE","1","NA","5","1","1","NA","NA","NA","3","2","NA","NA","p","NA","NA","NA","2","2","NA","NA","18","3","2","3","2","NA","2","NA",0,1,31197,1650,0,18817,1,0,0,0,0,0,0,0,0,0,1,"1",29,159,"1","2","2","NA"
"2012","BE",2221,616.136363636364,"NA","2","2012","13","3",1943,"1","NA","3","Other","2","NA","3","7","NA","2","2","NA","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","18","2","2","3","2","NA","2","NA",2314,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",68,222,"1","2","2","NA"
"2012","BE",2421,616.136363636364,"NA","2","2012","4","3",1986,"1","2","2","BE","2","NA","4","1","1","1","2","NA","3","2","NA","NA","j","NA","NA","1","2","2","NA","NA","15","3","2","1","2","NA","2","NA",0,1,992,120,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",25,242,"1","2","2","NA"
"2012","BE",2431,616.136363636364,"NA","2","2012","5","2",1940,"2","5","3","BE","2","NA","6","7","1","1","1","1","3",,"NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","1","3","2","NA","2","NA",0,1,0,0,0,12585,1,0,0,0,0,12759,0,0,0,0,1,"1",71,243,"1","6","2","NA"
"2012","BE",2791,616.136363636364,"NA","2","2012","17","1",1962,"1","2","NA","BE","2","NA","5","1","NA","NA","NA","NA","3","4","40","NA","b-e","NA","13","1","2","2","NA","NA","21","2","2","3","2","NA","2","NA",0,1,25102,768,0,0,1,0,0,0,944,0,0,0,0,0,1,"1",49,279,"1","5","2","NA"
"2012","BE",2981,616.136363636364,"NA","2","2012","15","1",1986,"2","2","1","BE","2","NA","3","5","NA","NA","NA","NA","3","9","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","15","3","1","2","2","NA","2","NA",0,1,592,20,0,7141,1,0,0,0,791,0,0,0,0,0,1,"1",25,298,"1","6","2","NA"
"2012","BE",3011,616.136363636364,"NA","1","2012","4","4",1973,"2","2","1","BE","1","NA","5","10","NA","2","2","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","2","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",38,301,"1","2","2","NA"
"2012","BE",3131,616.136363636364,"NA","4","2012","9","1",1958,"1","2","1","BE","2","NA","5","1","NA","1","2","NA","3","2","38","NA","q","NA","13","NA","NA","NA","NA","NA","20","2","2","3","2","NA","2","NA",2554,1,23202,0,0,21757,1,0,0,0,0,0,0,0,0,0,1,"1",53,313,"1","7","2","NA"
"2012","BE",3171,616.136363636364,"NA","2","2012","9","1",1947,"2","2","3","BE","2","NA","3","10","NA","2","2","NA","3","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","19","3","2","3","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",64,317,"1","3","2","NA"
"2012","BE",3461,616.136363636364,"NA","1","2012","6","4",1947,"1","5","1","BE","2","NA","1","8","NA","1","NA","1","2","8","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","25","4","1","3","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,0,0,0,13947,0,1,"1",64,346,"1","7","2","NA"
"2012","BE",3491,616.136363636364,"NA","4","2012","2","4",1931,"1","2","3","BE","2","NA","3","7","NA","1","2","NA","3","3","38","NA","NA","NA","NA","1","2","2","NA","NA","19","2","2","2","2","NA","2","NA",880,1,0,0,0,0,1,0,0,0,0,20825,0,0,0,0,1,"1",80,349,"1","2","2","NA"
"2012","BE",3581,616.136363636364,"NA","1","2012","5","2",1954,"2","2","3","BE","2","NA","5","1","NA","NA","NA","1","3","2","38","NA","p","NA","13","1","2","2","1","NA","23","2","2","3","2","1","2","NA",0,1,73697,3171,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",57,358,"1","2","2","NA"
"2012","BE",3681,616.136363636364,"NA","2","2012","14","3",1942,"2","4","3","BE","2","NA","NA","7","NA","2","2","1","3",,"20","NA","NA","NA","NA","NA","NA","2","NA","NA","24","2","2","1","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,9699,0,0,0,0,1,"1",69,368,"1","6","2","NA"
"2012","BE",3721,616.136363636364,"NA","2","2012","5","3",1931,"1","4","1","BE","2","NA","0","7","NA","2","NA","NA","3","9","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","2","1","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,11120,0,0,0,0,1,"1",80,372,"1","6","2","NA"
"2012","BE",4001,616.136363636364,"NA","2","2012","4","1",1974,"1","2","1","Other","2","NA","5","1","1","NA","NA","NA","3","3","45","NA","r-u","NA","13","1","1","2","NA","NA","22","1","2","3","2","NA","2","NA",1100,1,68452,2619,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",37,400,"1","2","2","NA"
"2012","BE",4071,616.136363636364,"NA","1","2012","14","4",1965,"1","2","1","Other","2","NA","3","1","1","NA","2","NA","3","7","NA","NA","g","5","NA","1","2","2","NA","10","18","1","2","3","2","NA","1","NA",0,1,26185,563,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",46,407,"1","5","2","7"
"2012","BE",4101,616.136363636364,"NA","1","2012","2","2",1965,"2","1","1","Other","2","NA","6","1","1","NA","NA","NA","3","2","55","NA","q","NA","13","1","2","2","NA","NA","23","1","2","2","2","NA","2","NA",1540,1,38239,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",46,410,"1","2","2","NA"
"2012","BE",4121,616.136363636364,"NA","2","2012","4","3",1941,"2","2","3","BE","2","NA","1","7","NA","1","NA","NA","3",,"NA","NA","NA","NA","1","1","2","2","NA","NA","17","2","2","3","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,23830,0,0,0,0,1,"1",70,412,"1","6","2","1"
"2012","BE",4351,616.136363636364,"NA","3","2012","6","2",1959,"1","2","NA","BE","2","NA","5","3","1","NA","NA","NA","3","0 - 1","38","NA","b-e","NA","13","1","1","2","NA","NA","19","2","2","3","2","NA","2","NA",0,1,0,0,0,0,1,0,150752,0,0,0,0,0,0,0,1,"1",52,435,"1","7","2","NA"
"2012","BE",5031,616.136363636364,"NA","2","2012","5","3",1944,"2","5","1","BE","2","NA","5","7","1","NA","2","NA","3","0 - 1","NA","NA","NA","NA","12","2","2","NA","NA","NA","24","2","1","3","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,15094,0,0,0,0,1,"1",67,503,"1","2","2","7"
"2012","BE",5171,616.136363636364,"NA","2","2012","5","4",1986,"1","1","3","BE","2","NA","5","1","1","NA","NA","NA","3","2","40","NA","j","NA","13","1","2","2","NA","NA","19","1","2","3","2","NA","2","NA",1500,1,34915,1942,0,13163,1,0,0,0,0,0,0,0,0,0,1,"1",25,517,"1","2","2","NA"
"2012","BE",5301,616.136363636364,"NA","1","2012","17","2",1985,"1","2","3","BE","2","NA","3","1","NA","NA","NA","NA","2","9","NA","NA","q","NA","NA","1","1","2","NA","NA","18","3","2","3","2","NA","2","NA",0,1,22199,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",26,530,"1","6","2","NA"
"2012","BE",5421,616.136363636364,"NA","2","2012","18","2",1942,"2","2","1","BE","2","NA","2","7","NA","NA","NA","NA","3","4","NA","NA","NA","NA","13","NA","2","NA","NA","NA","14","2","2","3","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,0,22171,0,0,0,1,"1",69,542,"1","6","1","1"
"2012","BE",5541,616.136363636364,"NA","2","2012","2","2",1978,"2","2","1","BE","2","NA","2","1","1","NA","NA","NA","3","9","32","NA","q","NA","12","1","1","2","NA","NA","19","2","2","3","2","NA","2","NA",3243,1,52285,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",33,554,"1","5","2","NA"
"2012","BE",5791,616.136363636364,"NA","2","2012","8","1",1976,"1","1","1","BE","2","NA","6","1","1","NA","NA","NA","3","2","70","NA","p","NA","13","1","2","2","NA","NA","31","2","2","3","2","NA","2","NA",1000,1,35266,1432,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",35,579,"1","2","2","NA"
"2012","BE",5831,616.136363636364,"NA","2","2012","6","2",1943,"2","5","3","BE","2","NA","2","7","NA","1","NA","NA","3","7","NA","NA","NA","NA","12","1","NA","2","NA","NA","NA","2","2","3","2","NA","2","NA",0,1,0,0,0,26783,1,0,0,0,0,18153,0,0,0,0,1,"1",68,583,"1","5","1","NA"
"2012","BE",5871,616.136363636364,"NA","3","2012","4","1",1938,"1","2","NA","BE","2","3","NA","7","NA","1","NA","NA","NA","7","NA","NA","NA","NA","NA","1","2","NA","NA","NA","17","3","1","3","2","NA","2","NA",660,1,0,0,0,10100,1,0,0,0,0,13849,0,0,0,0,1,"1",73,587,"1","3","2","NA"
"2012","BE",5911,616.136363636364,"NA","2","2012","8","4",1979,"1","1","2","EU","2","NA","5","1","1","NA","NA","NA","2","3","45","NA","j","NA","13","1","2","2","NA","NA","24","3","2","3","2","NA","2","NA",0,1,84656,2178,0,12667,1,0,0,0,0,0,0,0,0,0,1,"1",32,591,"1","2","2","NA"
"2012","BE",5941,616.136363636364,"NA","2","2012","13","2",1982,"1","1","3","Other","2","NA","1","5","NA","2","2","NA","3","9","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","15","4","2","2","2","NA","2","NA",0,1,0,0,0,17257,1,0,0,0,6303,0,0,0,0,0,1,"1",29,594,"1","6","2","NA"
"2012","BE",6351,616.136363636364,"NA","2","2012","2","1",1986,"1","2","1","EU","2","NA","5","5","NA","NA","2","1","NA",,"NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","4","2","1","2","NA","2","NA",0,1,6697,0,0,267,1,0,0,0,6345,0,0,0,0,0,1,"1",25,635,"1","6","1","NA"
"2012","BE",6471,616.136363636364,"NA","4","2012","6","1",1938,"2","5","1","BE","2","NA","5","7","1","1","NA","NA","2","3","NA","NA","NA","NA","2","NA","2","NA","NA","NA","18","2","2","2","2","NA","2","1",0,1,0,0,0,9927,1,0,0,0,0,0,15300,0,0,0,1,"1",73,647,"1","2","2","NA"
"2012","BE",6521,616.136363636364,"NA","2","2012","12","1",1973,"2","2","3","Other","2","NA","2","2","NA","1","2","1","NA","5","NA","NA","r-u","NA","NA","1","NA","NA","NA","NA","16","1","1","1","2","NA","2","NA",1900,1,13946,0,0,85364,1,0,0,0,0,0,0,0,0,0,1,"1",38,652,"1","7","1","NA"
"2012","BE",6581,616.136363636364,"NA","4","2012","14","2",1968,"1","1","3","BE","2","NA","2","5","1","1","2","NA","3","9","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","18","2","2","3","2","NA","2","NA",0,1,0,0,0,12483,1,0,0,0,12814,0,0,0,0,0,1,"1",43,658,"1","2","1","NA"
"2012","BE",6631,616.136363636364,"NA","2","2012","16","4",1948,"2","2","1","BE","2","NA","5","1","1","NA","NA","NA","3","3","40","NA","j","NA","12","1","1","2","NA","NA","19","2","2","3","2","NA","2","NA",0,1,107175,0,0,2145,1,0,0,0,0,0,0,0,0,0,1,"1",63,663,"1","2","2","7"
"2012","BE",7031,616.136363636364,"NA","2","2012","5","1",1978,"1","2","3","BE","2","NA","5","1","1","NA","NA","NA","3","3","23","10","r-u","NA","12","1","2","2","NA","NA","18","3","1","3","2","NA","2","NA",0,1,36638,1269,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",33,703,"1","6","1","10"
"2012","BE",7091,616.136363636364,"NA","2","2012","3","1",1943,"2","5","1","BE","2","NA","3","7","NA","NA","NA","NA","3","8","NA","NA","NA","NA","5","2","NA","2","NA","1","17","3","2","2","2","NA","2","NA",0,1,0,0,0,18488,1,0,2168,0,0,21684,0,0,0,0,1,"1",68,709,"1","2","2","2"
"2012","BE",7471,616.136363636364,"NA","3","2012","21","4",1931,"2","4","3","BE","2","NA","1","7","NA","1","NA","NA","3","5","26","NA","NA","NA","NA","NA","2","2","NA","NA","38","2","1","3","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,18356,0,0,0,0,1,"1",80,747,"1","2","NA","1"
"2012","BE",7521,616.136363636364,"NA","3","2012","4","4",1931,"2","2","3","BE","2","NA","3","7","NA","1","NA","NA","NA","3","19","NA","NA","NA","12","1","1","2","NA","NA","NA","2","1","3","2","NA","2","NA",1400,1,0,0,0,0,1,0,0,0,0,19331,0,0,0,0,1,"1",80,752,"1","5","2","NA"
"2012","BE",7691,616.136363636364,"NA","2","2012","11","4",1931,"2","5","2","BE","2","NA","5","7","NA","1","NA","NA","3","4","NA","NA","NA","4","NA","1","2","NA","NA","NA","24","1","2","2","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,16136,0,0,0,0,0,1,"1",80,769,"1","3","2","2"
"2012","BE",8081,616.136363636364,"NA","2","2012","9","1",1931,"2","5","1","BE","2","NA","4","7","1","NA","NA","NA","3","2","38","NA","NA","NA","NA","1","2","1","NA","NA","22","1","2","3","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,24503,0,0,0,0,1,"1",80,808,"1","6","2","NA"
"2012","BE",8131,616.136363636364,"NA","1","2012","7","1",1931,"2","4","1","BE","2","NA","2","7","1","NA","NA","NA","3","4","44","NA","NA","NA","NA","1","2","2","NA","NA","17","2","1","3","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,41592,0,0,0,0,1,"1",80,813,"1","6","1","8"
"2012","BE",8181,616.136363636364,"NA","3","2012","2","1",1931,"2","4","NA","BE","2","NA","2","7","1","NA","NA","NA","3","5","37","NA","NA","NA","13","1","1","2","NA","NA","16","2","2","3","2","NA","2","NA",0,1,0,0,0,9044,1,0,0,0,0,0,41411,0,0,0,1,"1",80,818,"1","6","2","1"
"2012","BE",8441,616.136363636364,"NA","2","2012","4","3",1933,"2","4","3","BE","2","NA","0","7","NA","1","2","NA","3",,"NA","NA","NA","NA","NA","1","2","NA","NA","NA","21","2","1","2","2","NA","2","NA",0,1,0,0,0,16018,1,0,0,0,10138,2758,0,0,0,0,1,"1",78,844,"1","6","1","NA"
"2012","BE",8581,616.136363636364,"NA","2","2012","2","4",1940,"2","5","3","BE","2","NA","5","7","NA","1","NA","NA","3","2","NA","NA","NA","NA","13","1","2","2","NA","NA","21","1","1","3","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,17642,0,0,0,0,1,"1",71,858,"1","2","2","NA"
"2012","BE",8601,616.136363636364,"NA","2","2012","9","1",1973,"2","1","1","BE","1","NA","5","3","1","NA","NA","NA","3","2","40","NA","l-n","NA","13","1","1","2","NA","NA","18","1","2","3","2","NA","2","NA",1400,1,0,0,0,0,1,0,35648,0,0,0,0,0,0,0,1,"1",38,860,"1","7","2","NA"
