"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PC170","PC180"
"2012","CY",41,66.6871496334627,"NA","3","2012","15","1",1965,"2","2","1","CY","2","NA","4","1","NA","NA","NA","NA","2","5","45","NA","i","NA","10","1","2","NA","NA","NA","21","2","1","3","2","NA","2","NA",1,1,30320,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",46,4,"1","2","1","6"
"2012","CY",251,66.6871496334627,"NA","2","2012","15","4",1978,"1","2","1","CY","2","NA","3","1","NA","NA","NA","NA","3","7","40","NA","g","NA","2","1","2","2","NA","NA","24","3","1","3","2","NA","2","NA",1,1,28917,0,0,3990,0,0,0,0,0,0,0,0,0,0,1,"1",33,25,"1","7","2","NA"
"2012","CY",411,66.6871496334627,"NA","2","2012","15","3",1931,"2","4","3","CY","2","NA","0","7","NA","NA","NA","NA","3","8","40","NA","NA","NA","13","NA","2","2","NA","1","13","1","2","3","2","NA","2","NA",1,1,0,0,0,0,2022,0,0,0,0,0,16583,0,0,0,1,"1",80,41,"1","6","2","NA"
"2012","CY",481,66.6871496334627,"NA","2","2012","8","4",1979,"2","2","1","CY","2","NA","3","1","NA","NA","NA","NA","3","5","40","NA","g","NA","13","1","1","2","NA","NA","17","2","2","2","2","NA","2","NA",1,1,10001,0,0,1092,0,0,21374,0,0,0,0,0,0,0,1,"1",32,48,"1","3","1","NA"
"2012","CY",541,66.6871496334627,"NA","3","2012","13","4",1945,"2","4","1","CY","1","NA","1","7","NA","1","NA","NA","2",,"44","NA","NA","NA","1","2","2","2","NA","NA","21","3","2","3","2","NA","2","NA",1,1,0,0,0,0,0,0,0,0,0,6228,0,0,0,0,1,"1",66,54,"1","7","2","NA"
"2012","CY",901,66.6871496334627,"NA","2","2012","13","2",1976,"2","1","1","EU","2","5","5","5","NA","NA","NA","NA","2","4","NA","NA","NA","NA","NA","1","2","NA","NA","NA","19","1","2","3","2","NA","2","NA",1,1,1158,0,0,4053,2141,0,0,0,0,0,0,0,0,0,1,"1",35,90,"1","2","1","NA"
"2012","CY",1051,66.6871496334627,"NA","2","2012","14","1",1935,"2","2","1","CY","2","NA","1","7","NA","NA","2","1","3","5","38","NA","NA","NA","10","NA","2","NA","NA","NA","NA","3","2","1","2","NA","1","1",1,1,0,0,0,0,0,0,0,0,0,9083,5664,0,0,0,1,"1",76,105,"1","2","2","NA"
"2012","CY",1101,66.6871496334627,"NA","2","2012","15","2",1948,"2","5","3","CY","1","5","3","10","NA","1","2","1","NA","5","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","2","2","3","2","NA","2","NA",1,1,0,0,0,0,1376,0,0,0,0,0,0,0,0,0,1,"1",63,110,"1","7","2","NA"
"2012","CY",1201,66.6871496334627,"NA","3","2012","14","4",1935,"2","4","3","CY","2","NA","5","7","NA","1","NA","NA","2","2","NA","NA","NA","NA","11","1","NA","2","NA","NA","22","3","2","2","2","NA","2","1",1,1,0,0,0,1523,0,0,0,0,0,0,11384,0,0,0,1,"1",76,120,"1","7","2","NA"
"2012","CY",1261,66.6871496334627,"NA","2","2012","14","4",1956,"2","2","1","CY","2","NA","5","1","NA","1","NA","NA","3","0 - 1","38","NA","o","NA","13","1","NA","1","NA","NA","20","1","1","3","2","NA","2","NA",1,1,26008,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",55,126,"1","7","2","NA"
"2012","CY",1341,66.6871496334627,"NA","2","2012","15","2",1938,"1","2","3","CY","2","NA","5","7","NA","1","NA","NA","3",,"36","NA","NA","NA","5","1","NA","2","NA","NA","27","2","2","3","2","NA","2","NA",1,1,0,0,0,0,0,0,0,0,0,43873,0,0,0,0,1,"1",73,134,"1","2","2","8"
"2012","CY",1351,66.6871496334627,"NA","2","2012","14","1",1943,"1","2","1","CY","2","NA","1","7","NA","NA","NA","NA","3","7","25","NA","NA","NA","13","1","2","2","NA","NA","24","1","1","3","1","NA","2","NA",1,1,0,0,0,4248,0,0,0,0,0,18076,0,0,0,0,1,"1",68,135,"1","7","2","NA"
"2012","CY",1591,66.6871496334627,"NA","2","2012","14","1",1976,"2","2","1","Other","1","NA","3","10","NA","1","2","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24","2","2","2","2","NA","2","NA",1,1,0,0,0,5978,0,0,0,0,0,0,0,0,0,0,1,"1",35,159,"1","7","2","1"
"2012","CY",1721,66.6871496334627,"NA","2","2012","15","4",1972,"2","2","1","Other","2","NA","2","1","NA","2","NA","NA","NA","5","NA","NA","r-u","NA","NA","NA","2","NA","NA","NA","NA","2","2","3","2","NA","2","1",1,1,0,0,0,1465,0,0,0,0,0,0,0,0,0,0,1,"1",39,172,"1","2","2","NA"
"2012","CY",1741,66.6871496334627,"NA","3","2012","12","3",1931,"1","2","1","CY","2","NA","NA","7","NA","NA","2","NA","3","9","40","NA","NA","NA","NA","1","2","NA","NA","NA","12","1","2","3","2","NA","2","NA",1,1,0,0,0,1747,0,0,0,0,0,9503,0,0,0,0,1,"1",80,174,"1","6","2","NA"
"2012","CY",2101,66.6871496334627,"NA","2","2012","11","4",1981,"2","2","3","CY","2","NA","5","1","NA","1","NA","1","3","2","38","NA","p","NA","NA","1","2","2","3","NA","24","1","1","3","2","NA","2","NA",1,1,33526,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",30,210,"1","3","2","NA"
"2012","CY",2121,66.6871496334627,"NA","3","2012","13","4",1932,"2","4","1","CY","2","NA","1","7","NA","1","NA","1","3","9","NA","NA","NA","NA","NA","2","2","NA","NA","NA","20","1","1","3","2","NA","2","NA",1,1,0,0,0,3091,0,0,0,0,0,3623,0,0,0,0,1,"1",79,212,"1","7","2","7"
"2012","CY",2341,66.6871496334627,"NA","2","2012","10","2",1947,"2","2","3","CY","2","NA","5","10","NA","2","2","NA","3",,"NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","1","2","2","2","NA","2","NA",1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",64,234,"1","2","2","NA"
"2012","CY",2391,66.6871496334627,"NA","3","2012","15","1",1946,"2","5","1","CY","2","5","5","1","NA","NA","NA","NA","3","2","30","NA","p","NA","13","NA","2","NA","NA","NA","21","3","2","3","2","NA","2","NA",1,1,31898,0,0,1004,0,0,0,0,0,0,0,0,0,0,1,"1",65,239,"1","2","2","NA"
"2012","CY",2441,66.6871496334627,"NA","2","2012","15","4",1940,"2","4","1","CY","2","NA","0","7","NA","1","2","1","3","9","40","NA","NA","NA","NA","1","2","NA","NA","11","24","1","1","3","2","NA","2","NA",1,1,0,0,0,5186,0,0,0,0,0,7788,0,0,0,0,1,"1",71,244,"1","6","2","NA"
"2012","CY",2481,66.6871496334627,"NA","2","2012","11","1",1972,"1","2","1","CY","2","NA","3","1","NA","NA","NA","NA","3","7","38","15","b-e","NA","12","1","2","2","NA","NA","20","2","2","3","2","NA","2","NA",1,1,51527,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",39,248,"1","2","2","NA"
"2012","CY",2501,66.6871496334627,"NA","3","2012","15","2",1962,"1","1","1","CY","2","NA","3","8","NA","NA","NA","NA","2","6","40","NA","NA","NA","NA","1","NA","2","NA","NA","20","3","1","1","2","NA","2","NA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,9591,0,1,"1",49,250,"1","2","1","1"
"2012","CY",2511,66.6871496334627,"NA","3","2012","8","3",1945,"2","2","3","CY","2","NA","3","7","NA","1","NA","NA","3","3","40","NA","NA","NA","9","NA","2","NA","NA","NA","12","4","1","3","2","NA","1","1",1,1,0,0,0,1642,1030,0,0,0,0,11495,0,0,0,0,1,"1",66,251,"1","2","1","NA"
"2012","CY",2601,66.6871496334627,"NA","3","2012","10","4",1982,"1","1","1","CY","2","NA","5","1","NA","NA","NA","NA","3","2","45","NA","o","NA","7","1","2","NA","NA","NA","22","1","2","3","2","NA","2","1",1,1,20950,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",29,260,"1","6","2","1"
"2012","CY",2711,66.6871496334627,"NA","2","2012","14","4",1950,"1","5","1","CY","2","NA","5","1","NA","NA","NA","NA","3","2","40","NA","h","NA","12","1","1","2","NA","NA","23","3","2","3","2","NA","2","NA",1,1,59801,0,0,3796,0,0,3178,0,0,0,0,0,0,0,1,"1",61,271,"1","7","2","NA"
"2012","CY",2791,66.6871496334627,"NA","2","2012","7","2",1945,"2","2","1","CY","2","NA","5","7","NA","NA","NA","NA","3","2","40","NA","NA","NA","NA","2","2","2","NA","NA","19","4","2","2","2","NA","2","NA",1,1,0,0,0,4073,968,0,0,0,0,9159,0,0,0,0,1,"1",66,279,"1","2","1","2"
"2012","CY",2821,66.6871496334627,"NA","2","2012","15","4",1983,"1","1","3","CY","2","NA","1","1","NA","NA","NA","NA","3","7","40","NA","f","NA","13","1","2","2","NA","1","22","1","2","3","2","NA","2","NA",1,1,16839,0,0,6001,2639,0,0,0,10869,0,0,0,0,0,1,"1",28,282,"1","2","2","NA"
"2012","CY",2941,66.6871496334627,"NA","2","2012","15","3",1947,"2","2","1","CY","1","5","2","10","NA","1","2","1","NA",,"NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","2","3","2","NA","2","NA",1,1,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,1,"1",64,294,"1","2","2","NA"
"2012","CY",3161,66.6871496334627,"NA","3","2012","15","2",1933,"2","4","3","CY","2","NA","0","7","NA","1","NA","NA","3","9","15","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","2","2","3","2","NA","2","NA",1,1,0,0,0,0,0,0,0,0,0,0,8417,0,0,0,1,"1",78,316,"1","7","2","NA"
"2012","CY",3191,66.6871496334627,"NA","2","2012","14","2",1973,"1","2","1","CY","2","NA","5","1","NA","NA","NA","NA","2","0 - 1","32","NA","o","NA","NA","NA","2","2","NA","NA","20","1","2","3","1","NA","2","NA",1,1,22749,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",38,319,"1","2","1","NA"
"2012","CY",3451,66.6871496334627,"NA","3","2012","18","2",1940,"2","4","2","CY","2","NA","2","7","NA","NA","NA","NA","3",,"NA","NA","NA","5","1","1","2","2","NA","NA","17","2","1","3","2","NA","2","NA",1,1,0,0,0,1313,0,0,0,0,0,14657,0,0,0,0,1,"1",71,345,"1","7","2","NA"
"2012","CY",3521,66.6871496334627,"NA","3","2012","15","1",1979,"1","1","1","Other","2","NA","5","1","NA","NA","NA","NA","3","9","25","NA","k","NA","NA","1","2","NA","NA","NA","17","1","1","3","2","NA","2","NA",1,1,11608,0,0,0,0,0,0,0,2704,0,0,0,0,0,1,"1",32,352,"1","2","2","NA"
