"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PC170","PC180"
"2012","EE",71,109.903368304804,"NA","1","2012","4","2",1934,"2","2","3","EE","2","NA","5","7","NA","NA","2","NA","3","2","NA","NA","NA","NA","12","1","2","1","NA","NA","18","NA","1","3","2","NA","2","NA",0,0,0,0,0,1220,1,0,0,0,0,3737,0,0,0,0,1,"1",77,7,"1","2","2","NA"
"2012","EE",501,109.903368304804,"NA","1","2012","NA","1",1952,"2","5","2","EE","2","NA","2","8","NA","1","2","NA","3","9","NA","NA","NA","NA","NA","1","2","NA","NA","NA","24","NA","2","3","2","NA","1","1",0,0,0,0,0,1396,1,0,0,0,0,0,0,0,2560,0,1,"1",59,50,"1","2","2","NA"
"2012","EE",531,109.903368304804,"NA","1","2012","15","3",1944,"1","1","2","EE","2","NA","3","2","NA","NA","NA","NA","3","9","48","NA","b-e","NA","13","1","2","2","NA","3","16","NA","1","3","1","NA","2","NA",0,0,3264,0,0,11360,1,0,0,0,0,5185,0,0,0,0,1,"1",67,53,"1","2","1","1"
"2012","EE",801,109.903368304804,"NA","2","2012","10","2",1987,"1","1","3","EE","2","NA","3","6","NA","NA","1","NA","NA","4","NA","NA","NA","NA","13","1","1","NA","NA","10","NA","NA","2","3","2","6","2","NA",810,0,0,0,0,2578,1,0,0,0,0,0,0,0,0,1131,1,"1",24,80,"1","7","1","NA"
"2012","EE",951,109.903368304804,"NA","NA","2012","11","3",1931,"2","1","3","EE","2","NA","3","7","NA","NA","2","NA","3","9","40","NA","NA","NA","NA","1","1","2","NA","2","18","4","2","2","2","2","2","NA",100,0,0,0,0,0,1,0,0,0,0,3690,0,0,0,0,1,"1",80,95,"1","7","2","NA"
"2012","EE",1071,109.903368304804,"NA","1","2012","6","4",1983,"2","1","3","EE","2","5","5","1","NA","NA","NA","NA","3","2","42","NA","p","NA","11","1","2","2","NA","NA","20","3","1","2","2","NA","2","NA",0,0,6797,0,0,1458,1,0,0,0,0,0,0,0,0,0,1,"1",28,107,"1","7","2","7"
"2012","EE",1761,109.903368304804,"NA","2","2012","5","3",1950,"1","1","2","EE","2","NA","3","1","NA","1","2","NA","3","7","NA","NA","f","NA","14","1","2","NA","NA","NA","20","NA","2","3","2","NA","2","NA",190,0,4372,0,0,2477,1,0,0,0,0,100,0,200,0,0,1,"1",61,176,"1","2","2","NA"
"2012","EE",2061,109.903368304804,"NA","2","2012","23","4",1932,"2","4","1","EE","2","NA","1","7","NA","1","1","NA","NA","9","32","NA","NA","NA","12","1","2","NA","NA","NA","17","3","1","3","2","NA","2","NA",0,0,0,0,0,288,1,0,0,0,0,3340,0,0,0,0,1,"1",79,206,"1","7","2","NA"
"2012","EE",2181,109.903368304804,"NA","1","2012","2","2",1951,"2","2","1","EE","2","NA","5","1","NA","NA","NA","NA","3","2","40","NA","r-u","NA","6","1","2","2","3","4","18","1","1","2","2","4","2","NA",0,0,7271,0,0,7978,1,0,0,0,0,0,0,0,0,0,1,"1",60,218,"1","2","2","NA"
"2012","EE",2351,109.903368304804,"NA","1","2012","9","3",1975,"1","1","3","EE","2","NA","2","2","NA","NA","NA","NA","3","8","35","20","b-e","NA","13","2","1","NA","NA","NA","19","2","2","3","2","NA","2","1",0,0,17202,0,0,1481,1,0,0,0,0,0,0,0,0,0,1,"1",36,235,"1","6","2","NA"
