"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PC170","PC180"
"2012","EL",631,1278.62969004894,"NA","2","2012","10","1",1931,"2",,"3",,"2","3",,,"2","2","2","NA","NA",,"NA","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","2","2","3","2","NA","2","NA",0,0,0,0,0,2843,0,0,0,0,0,0,0,0,0,0,272,"1",80,63,"1","2","2","NA"
"2012","EL",811,1278.62969004894,"NA","2","2012","10","3",1961,"1","2","1","EL","2","NA","1","3","2","1","NA","NA","3","7","40","NA","f","NA","1","1","1","2","NA","NA","25","2","2","3","2","NA","2","NA",0,0,0,0,0,0,0,0,23679,0,0,0,0,0,0,0,272,"1",50,81,"1","2","2","NA"
"2012","EL",1071,1278.62969004894,"NA","2","2012","10","4",1973,"2","2","1","EL","2","NA","4","5","2","NA","2","NA","1","4","40","NA","NA","NA","2","NA","NA","2","NA","NA","18","2","2","3","2","NA","2","1",0,0,6331,0,0,0,0,0,0,0,11885,0,0,0,0,0,272,"1",38,107,"1","3","2","1"
"2012","EL",1261,1278.62969004894,"NA","2","2012","10","3",1937,"2","5","1","EL","2","NA","5","7","2","NA","NA","NA","2","2","NA","NA","NA","NA","NA","1","2","2","NA","NA","17","3","1","3","1","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,10310,0,0,0,0,272,"1",74,126,"1","3","2","9"
"2012","EL",1431,1278.62969004894,"NA","2","2012","10","4",1983,"2","1","1","EL","2","NA","5","1","2","1","NA","NA","2","4","NA","NA","l-n","NA","2","NA","2","NA","NA","NA","15","1","2","3","2","NA","2","NA",0,0,8201,0,0,0,0,0,0,0,0,0,0,0,0,0,272,"1",28,143,"1","2","2","NA"
"2012","EL",1591,1278.62969004894,"NA","2","2012","30","3",1979,"1","1","1","EL","2","NA","4","5","2","NA","2","NA","3","5","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","3","2","3","2","NA","1","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,"1",32,159,"1","7","2","NA"
"2012","EL",1861,1278.62969004894,"NA","2","2012","40","3",1941,"2","2","3","EL","2","NA","3","10","1","NA","NA","NA","3","3","48","NA","NA","NA","NA","1","2","2","NA","NA","12","1","2","3","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,0,10607,0,0,0,272,"1",70,186,"1","6","1","NA"
"2012","EL",1931,1278.62969004894,"NA","2","2012","10","3",1947,"2","2","1","EL","2","NA","3","7","2","1","2","NA","3","0 - 1","NA","NA","NA","NA","NA","2","2","NA","NA","NA","18","3","1","3","1","NA","2","NA",0,300,0,0,0,3720,0,0,0,0,0,5428,0,0,0,0,272,"1",64,193,"1","2","2","NA"
"2012","EL",2171,1278.62969004894,"NA","2","2012","15","2",1979,"1","1","3","EL","2","NA","5","1","2","NA","NA","NA","3","3","NA","NA","o","NA","12","1","2","2","NA","NA","28","1","2","3","2","NA","2","NA",0,0,0,0,0,0,0,0,-51931,0,0,0,0,0,0,0,272,"1",32,217,"1","5","2","NA"
"2012","EL",2271,1278.62969004894,"NA","2","2012","25","1",1939,"1","2","3","EL","2","NA","3","7","2","1","NA","NA","3","4","40","NA","NA","NA","13","1","NA","2","NA","NA","19","2","2","3","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,7491,7405,2648,0,0,126,"1",72,227,"1","6","2","NA"
