"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PC170","PC180"
"2012","IE",471,362.795366795367,"NA","1","2012","8","NA",1954,"1","2","1","IE","2","NA","2","5","NA","1","NA","NA","3","5","NA","NA","NA","NA","NA","NA","1","NA","NA","6","21","3","2","1","2","NA","2","NA",0,0,0,0,0,87,0,0,0,0,7578,0,0,0,0,0,1406,"1",57,47,"1","2","2","NA"
"2012","IE",601,362.795366795367,"NA","4","2012","9","NA",1939,"2","2","3","IE","2","NA","1","10","1","1","2","NA","3","6","40","NA","NA","3","NA","1","NA","NA","NA","NA","14","2","1","1","2","NA","2","NA",0,0,0,0,0,0,0,1140,0,0,0,13476,0,0,0,0,913,"1",72,60,"1","5","1","NA"
"2012","IE",801,362.795366795367,"NA","2","2012","2","NA",1931,"1","2","2","IE","2","NA","1","7","1","NA","2","NA","3","5","40","NA","NA","NA","12","1","1","2","NA","NA","21","2","2","3","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,36786,0,0,0,0,1406,"1",80,80,"1","6","1","NA"
"2012","IE",941,362.795366795367,"NA","4","2012","3","NA",1931,"1","2","1","IE","1","NA","1","7","NA","1","2","NA","3","5","40","NA","NA","NA","NA","2","NA","NA","NA","NA","17","2","2","3","2","NA","2","5",0,0,0,0,0,1360,0,0,0,0,0,12191,0,0,0,0,15,"1",80,94,"1","3","2","NA"
"2012","IE",1071,362.795366795367,"NA","1","2012","14","NA",1950,"2","2","1","IE","2","NA","3","7","1","1","NA","NA","3","4","40","NA","NA","NA","10","1","2","2","NA","NA","19","2","2","3","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,61307,0,0,0,0,1406,"1",61,107,"1","7","1","NA"
"2012","IE",1191,362.795366795367,"NA","2","2012","3","NA",1931,"2","4","1","IE","1","NA","1","10","1","1","2","NA","3",,"NA","NA","NA","6","NA","2","2","NA","NA","NA","15","1","2","3","2","NA","2","NA",0,3000,0,0,0,0,0,0,0,0,0,8462,0,0,0,0,66,"1",80,119,"1","2","2","NA"
"2012","IE",1381,362.795366795367,"NA","2","2012","8","NA",1955,"1","5","1","IE","2","NA","5","8","NA","NA","NA","NA","3","4","21","NA","NA","NA","NA","1","1","NA","NA","NA","16","2","1","3","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11915,0,1406,"1",56,138,"1","2","2","NA"
"2012","IE",1441,362.795366795367,"NA","2","2012","7","NA",1933,"2","1","2","IE","1","NA","1","7","NA","2","NA","NA","3","7","NA","NA","NA","3","NA","NA","2","NA","NA","NA","NA","3","1","2","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,7901,0,0,0,0,1406,"1",78,144,"1","2","2","NA"
"2012","IE",1621,362.795366795367,"NA","2","2012","3","NA",1974,"1","2","1","IE","2","NA","5","1","1","NA","NA","NA","3","5","35","NA","b-e","5","13","1","1","NA","NA","NA","21","1","2","3","2","NA","2","NA",0,0,37800,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,"1",37,162,"1","7","1","NA"
"2012","IE",1691,362.795366795367,"NA","3","2012","20","NA",1940,"2","4","3","IE","2","NA","1","10","NA","1","2","NA","3","6","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","1","1","3","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756,"1",71,169,"1","5","1","NA"
