"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PC170","PC180"
"2012","LU",31,35.1923395788426,"NA","1","2012","10","2",1959,"2","5","3","EU","2","NA","1","1","1","NA","NA","NA","3","9","40","NA","q","NA","11","1","2","2","NA","NA","22","1","2","3","1","NA","2","NA",0,1,65519,0,0,4995,1,0,0,0,0,0,0,0,0,0,36,"1",52,3,"1","6","1","NA"
"2012","LU",81,35.1923395788426,"NA","1","2012","25","4",1931,"1","4","3","LU","2","NA","4","7","2","NA","NA","NA","3","7","30","NA","NA","NA","5","1","NA","2","NA","NA","19","2","2","2","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,41199,1449,0,0,0,1327,"1",80,8,"1","3","1","2"
"2012","LU",171,35.1923395788426,"NA","3","2012","20","1",1957,"1","2","1","EU","2","NA","2","1","1","1","NA","NA","3","3","50","NA","f","NA","13","1","2","2","NA","NA","19","1","1","3","2","NA","2","NA",0,1,169620,1812,0,0,1,0,0,0,0,0,0,0,0,0,1327,"1",54,17,"1","2","2","NA"
"2012","LU",181,35.1923395788426,"NA","1","2012","5","4",1947,"1","2","3","LU","2","NA","4","7","2","1","NA","NA","3","7","40","NA","NA","NA","1","1","2","2","NA","NA","16","2","2","2","2","NA","2","NA",0,1,0,0,0,5692,14,0,0,0,0,34999,0,0,0,0,1017,"1",64,18,"1","6","1","NA"
"2012","LU",201,35.1923395788426,"NA","1","2012","15","1",1976,"2","2","1","EU","2","NA","NA","1","1","NA","NA","NA","3","5","NA","NA","q","NA","NA","1","1","2","NA","NA","17","2","2","3","2","NA","2","NA",0,1,28010,2342,2342,0,1,0,0,0,0,0,0,0,0,0,1327,"1",35,20,"1","2","1","NA"
"2012","LU",271,35.1923395788426,"NA","1","2012","20","1",1958,"2","2","1","EU","2","NA","5","1","1","NA","NA","NA","1","0 - 1","42","NA","k","NA","13","1","1","NA","NA","2","16","5","2","3","2","NA","2","NA",0,2,64097,0,0,0,1,0,0,0,0,0,0,0,0,0,1158,"1",53,27,"1","2","2","1"
"2012","LU",331,35.1923395788426,"NA","2","2012","15","3",1933,"2","2","3","LU","2","NA","2","7","2","NA","NA","NA","3","9","46","NA","NA","NA","NA","1","2","2","NA","NA","20","1","1","3","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,26425,51498,0,0,0,0,178,"1",78,33,"1","2","2","NA"
"2012","LU",361,35.1923395788426,"NA","1","2012","3","1",1966,"1","1","1","LU","2","NA","5","1","1","NA","NA","NA","3","2","60","NA","p","NA","13","1","2","2","NA","NA","21","2","2","3","1","NA","2","NA",0,1,102942,0,0,1989,1,0,0,0,0,0,0,0,0,0,222,"1",45,36,"1","7","2","NA"
"2012","LU",611,35.1923395788426,"NA","1","2012","25","4",1944,"2","2","3","Other","1","3","2","10","NA","2","1","NA","3","4","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","1","1","1","2","NA","2","NA",0,1,0,0,0,0,1,600,0,0,0,1448,0,0,0,0,1327,"1",67,61,"1","2","2","7"
"2012","LU",711,35.1923395788426,"NA","1","2012","10","4",1931,"2","2","3","LU","2","NA","1","7","2","NA","NA","NA","3",,"20","NA","NA","NA","12","1","1","2","NA","NA","26","5","2","3","2","NA","2","NA",0,1,0,0,0,13103,1,1500,0,0,0,67993,567,0,0,0,1327,"1",80,71,"1","2","2","NA"
