"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PD020","PD030","PD050","PD060","PD070","PD080","PD090","PW010","PW020","PW030","PW040","PW050","PW060","PW070","PW080","PW090","PW100","PW110","PW120","PW130","PW140","PW150","PW160","PW170","PW180","PW190","PW200","PW210","PW220","PX010","PX020","PX030","PX040","PX050","PX200"
"2013","LU",31,54.4350132625995,"NA","2","2013","12","3",1947,"1","2","3","EU","2","NA","3","7","1","1","NA","NA","3","7","40","NA","NA","NA","13","1","2","NA","NA","NA","22","3","1","3","2","NA","2","NA",0,1,0,0,0,10413,1,0,0,0,0,71572,0,0,0,0,1,"2","1","1","1","1","1","NA","7","8","9","9","3","5","2","5","NA","NA","NA","NA","6","4","2","10","1","1","5","8","NA","2","1",65,3,"1","3","126.6275444"
"2013","LU",161,54.4350132625995,"NA","1","2013","17","4",1939,"1","2","2","LU","2","NA","4","7","1","NA","NA","NA","2","7","40","NA","NA","NA","12","1","2","2","NA","NA","15","2","1","3","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,97611,0,0,0,0,1,"1","1","1","3","1","1","NA","8","NA","NA","7","4","4","3","NA","3","NA","NA","3","5","7","9","10","NA","1","6","9","5","NA","1",73,16,"1","3","76.28575482"
"2013","LU",271,54.4350132625995,"NA","2","2013","6","3",1932,"2","4","3","EU","2","NA","1","10","1","1","NA","NA","3","4","30","NA","NA","NA","NA","1","2","2","NA","NA","21","1","2","3","2","NA","2","NA",0,1,0,0,0,2871,1,0,0,0,0,32767,0,0,0,0,1,"1","1","1","1","1","1","NA","7","8","NA","9","3","3","3","NA","2","NA","10","3","7","NA","4","NA","1","1","NA","8","NA","2","1",80,27,"1","2","78.28412911"
"2013","LU",311,54.4350132625995,"NA","2","2013","15","2",1956,"1","2","1","Other","2","NA","3","1","1","NA","NA","NA","3","7","32","NA","f","NA","NA","1","2","2","NA","NA","16","1","1","1","2","NA","2","NA",0,1,81173,0,0,11944,1,0,0,0,0,0,0,0,0,0,1,"1","1","1","1","1","1","NA","4","9","9","8","3","4","2","4","2","NA","10","9","99","3","6","NA","1","1","5","8","99","NA","1",56,31,"1","7","85.11811154"
"2013","LU",351,54.4350132625995,"NA","2","2013","14","2",1948,"1","5","1","LU","2","NA","3","2","1","NA","NA","NA","3","3","40","NA","g","NA","12","1","2","NA","NA","NA","22","2","2","3","2","NA","2","NA",0,1,5767,0,0,1630,1,0,0,0,0,41878,0,0,0,0,1,"1","1","1","1","1","1","NA","10","NA","NA","NA","3","5","3","NA","2","NA","NA","10","5","5","5","7","1","NA","8","5","8","4","1",64,35,"1","2","90.10467892"
"2013","LU",591,54.4350132625995,"NA","2","2013","13","4",1962,"1","2","1","LU","2","NA","5","2","1","1","NA","NA","3","2","NA","NA","p","5","13","1","2","2","NA","NA","12","1","1","3","2","NA","2","NA",0,1,39882,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1","1","1","1","1","1","NA","10","9","7","10","3","NA","NA","5","NA","NA","NA","4","8","NA","0","7","1","1","2","9","5","1","1",50,59,"1","2","159.9110195"
"2013","LU",681,54.4350132625995,"NA","2","2013","5","3",1940,"2","2","1","LU","2","NA","3","7","2","NA","NA","NA","3","4","40","NA","NA","NA","NA","1","2","2","NA","NA","15","2","2","3","2","NA","2","NA",0,1,0,0,0,0,1,0,0,0,0,36698,0,0,0,0,1,"1","1","1","1","1","1","NA","8","9","NA","7","2","NA","3","5","2","NA","2","10","0","3","5","NA","1","1","7","8","10","4","1",72,68,"1","7","NA"
"2013","LU",711,54.4350132625995,"NA","1","2013","27","2",1944,"1","2","1","LU","2","NA","1","7","1","NA","2","NA","3","6","40","NA","NA","NA","13","1","2","2","NA","NA","15","2","2","3","2","NA","2","NA",0,1,0,0,0,598,1,0,0,0,0,55198,0,0,0,0,1,"1","1","1","1","1","1","NA","8","7","8","NA","3","5","1","NA","3","7","7","3","3","1","3","8","1","1","6","10","7","2","1",68,71,"1","2","86.19908686"
"2013","LU",791,54.4350132625995,"NA","1","2013","14","3",1941,"2","2","1","LU","2","NA","5","7","1","1","NA","1","3","0 - 1","NA","NA","NA","NA","13","1","2","2","NA","NA","15","4","1","3","2","NA","1","NA",0,1,0,0,0,1220,1,0,0,0,0,25647,0,0,0,0,1,"1","1","1","1","1","1","NA","5","8","7","6","4","5","2","3","2","NA","8","8","7","NA","6","8","NA","2","4","NA","8","3","1",71,79,"1","2","74.1712001"
"2013","LU",831,54.4350132625995,"NA","1","2013","13","3",1946,"1","5","1","LU","2","NA","2","7","2","NA","NA","NA","3","5","NA","NA","NA","NA","13","1","1","NA","NA","NA","21","2","2","3","2","NA","2","NA",0,1,0,0,0,597,1,1200,0,0,0,40680,0,0,0,0,1,"1","1","1","3","1","1","NA","7","9","NA","9","NA","3","2","4","NA","9","10","NA","NA","7","5","8","NA","1","5","NA","9","1","1",66,83,"1","2","406.6490076"
