"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PC170","PC180"
"2012","MT",21,35.1701149425287,"NA","3","2012","3","NA",1934,"2","2","1","MT","2","NA","1","11","NA","1","1","NA","NA",,"NA","NA","NA","NA","1","NA","1","NA","NA","NA","14","2","2","3","2","NA","1","NA",1,1,0,0,0,128,1,80,0,0,0,3195,0,0,0,0,1,"1",77,2,"1","2","2","NA"
"2012","MT",121,35.1701149425287,"NA","2","2012","10","NA",1977,"1","1","1","MT","2","3","2","3","NA","2","2","NA","4","7","NA","NA","g","NA","NA","1","NA","NA","NA","NA","18","2","2","3","1","NA","2","NA",1,1,41,0,0,849,1,0,516,0,0,0,0,0,0,0,1,"1",34,12,"1","3","2","NA"
"2012","MT",191,35.1701149425287,"NA","3","2012","15","NA",1943,"2","2","3","MT","2","NA","1","7","NA","NA","NA","NA","3","9","40","NA","NA","NA","4","NA","1","NA","NA","NA","20","3","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,13005,0,0,0,0,1,"1",68,19,"1","2","2","NA"
"2012","MT",231,35.1701149425287,"NA","2","2012","7","NA",1938,"2","2","1","MT","2","NA","5","7","NA","1","NA","NA","3","2","NA","NA","NA","NA","NA","NA","2","2","NA","NA","16","4","2","3","1","2","2","NA",1,1,0,0,0,1461,1,0,0,0,0,8509,0,2542,0,0,1,"1",73,23,"1","7","2","NA"
"2012","MT",251,35.1701149425287,"NA","3","2012","13","NA",1941,"2","4","1","MT","2","NA","2","10","NA","2","2","NA","3",,"NA","NA","NA","NA","NA","NA","2","NA","NA","NA","16","3","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",70,25,"1","7","NA","NA"
"2012","MT",431,35.1701149425287,"NA","2","2012","12","NA",1937,"2","4","3","MT","2","NA","1","10","NA","NA","NA","NA","2",,"34","NA","NA","NA","3","1","NA","2","NA","NA","18","1","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,20458,0,4484,0,0,1,"1",74,43,"1","7","2","NA"
"2012","MT",501,35.1701149425287,"NA","2","2012","14","NA",1952,"2","2","1","MT","2","NA","2","10","NA","1","2","NA","NA","3","NA","NA","NA","NA","NA","1","2","NA","NA","NA","18","3","1","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",59,50,"1","6","2","NA"
"2012","MT",521,35.1701149425287,"NA","2","2012","10","NA",1956,"1","2","1","MT","2","NA","2","1","NA","NA","NA","NA","3","4","40","NA","h","NA","4","1","1","2","NA","NA","22","3","2","3","2","NA","2","NA",1,1,64414,0,0,1840,1,0,0,0,0,0,0,34,0,0,1,"1",55,52,"1","2","2","NA"
"2012","MT",581,35.1701149425287,"NA","3","2012","30","NA",1949,"2","2","1","MT","2","NA","1","10","NA","1","2","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","17","3","2","2","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",62,58,"1","7","2","NA"
"2012","MT",621,35.1701149425287,"NA","3","2012","15","NA",1932,"2","4","1","MT","2","NA","1","10","NA","1","2","NA","2",,"66","NA","NA","NA","6","2","NA","2","NA","NA","16","2","1","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,5696,0,2234,0,0,1,"1",79,62,"1","6","2","NA"
"2012","MT",791,35.1701149425287,"NA","3","2012","17","NA",1957,"2","2","3","MT","2","NA","1","10","NA","2","NA","NA","NA",,"NA","NA","NA","6","NA","NA","NA","NA","NA","NA","18","2","2","3","2","6","2","NA",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",54,79,"1","7","2","NA"
"2012","MT",811,35.1701149425287,"NA","2","2012","13","NA",1980,"1","1","1","MT","2","NA","2","5","NA","1","2","NA","3","9","37","NA","NA","NA","NA","1","NA","NA","NA","NA","16","1","2","3","2","NA","2","NA",1,1,1623,0,0,0,1,0,0,0,4547,0,0,0,0,0,1,"1",31,81,"1","6","2","NA"
"2012","MT",981,35.1701149425287,"NA","3","2012","10","NA",1964,"2","2","3","MT","2","NA","2","10","NA","2","2","NA","4","8","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","2","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",47,98,"1","7","2","NA"
"2012","MT",1041,35.1701149425287,"NA","2","2012","8","NA",1951,"1","2","3","MT","2","NA","3","1","NA","NA","2","NA","3","0 - 1","40","NA","g","NA","4","1","1","2","NA","NA","16","2","2","3","2","NA","2","NA",1,1,18909,0,0,0,1,0,0,0,0,0,0,53,0,0,1,"1",60,104,"1","2","2","1"
"2012","MT",1091,35.1701149425287,"NA","3","2012","8","NA",1953,"2","1","3","MT","2","NA","1","8","NA","NA","2","NA","3","8","40","NA","NA","NA","NA","NA","NA","2","NA","NA","16","2","1","2","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,0,0,0,8552,0,1,"1",58,109,"1","3","2","NA"
"2012","MT",1141,35.1701149425287,"NA","2","2012","12","NA",1950,"2","3","1","MT","2","NA","1","1","NA","NA","NA","NA","3","8","50","NA","f","NA","4","1","1","2","NA","NA","18","2","2","3","2","NA","2","NA",1,1,29771,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",61,114,"1","2","1","NA"
"2012","MT",1171,35.1701149425287,"NA","2","2012","20","NA",1932,"2","2","1","MT","2","NA","1","10","NA","1","2","NA","3",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","16","2","2","3","2","5","2","NA",1,1,0,0,0,1225,1,700,0,0,0,0,0,0,0,0,1,"1",79,117,"1","7","2","NA"
"2012","MT",1201,35.1701149425287,"NA","3","2012","5","NA",1941,"1","2","1","MT","2","NA","2","7","NA","1","2","NA","2","8","40","NA","NA","NA","NA","NA","NA","NA","NA","NA","16","2","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,7688,0,0,0,0,1,"1",70,120,"1","2","1","1"
"2012","MT",1211,35.1701149425287,"NA","2","2012","13","NA",1934,"2","4","1","MT","2","NA","1","10","NA","2","2","NA","NA","8","40","NA","NA","NA","NA","NA","2","NA","NA","NA","14","2","2","3","2","NA","2","NA",1,1,0,0,0,0,1,300,0,0,0,0,0,0,0,0,1,"1",77,121,"1","7","2","NA"
"2012","MT",1231,35.1701149425287,"NA","3","2012","20","NA",1931,"2","4","1","MT","2","NA","1","10","NA","NA","NA","NA","NA",,"NA","NA","NA","NA","4","NA","2","NA","NA","NA","NA","1","2","3","2","NA","2","NA",1,1,0,0,0,440,1,0,0,0,0,7411,0,0,0,0,1,"1",80,123,"1","2","2","NA"
"2012","MT",1301,35.1701149425287,"NA","3","2012","15","NA",1947,"1","2","1","MT","2","NA","2","7","NA","2","NA","NA","NA","9","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA","3","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,4069,0,0,0,0,1,"1",64,130,"1","6","2","NA"
"2012","MT",1371,35.1701149425287,"NA","2","2012","15","NA",1939,"2","2","3","MT","2","NA","1","10","NA","1","2","NA","3","5","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","19","2","1","3","2","NA","2","NA",1,1,0,0,0,0,1,582,0,0,0,0,0,0,0,0,1,"1",72,137,"1","6","2","NA"
"2012","MT",1401,35.1701149425287,"NA","2","2012","19","NA",1944,"2","2","1","EU","2","NA","4","10","NA","2","2","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","3","2","NA","2","NA",1,1,0,0,0,920,1,0,0,0,0,0,0,0,0,0,1,"1",67,140,"1","2","2","NA"
"2012","MT",1551,35.1701149425287,"NA","3","2012","10","NA",1933,"2","2","3","MT","2","NA","1","10","NA","1","2","NA","NA",,"NA","NA","NA","NA","NA","NA","2","NA","NA","NA","17","5","2","3","2","NA","2","NA",1,1,0,0,0,1840,1,0,0,0,0,0,0,0,0,0,1,"1",78,155,"1","3","2","NA"
"2012","MT",1611,35.1701149425287,"NA","2","2012","9","NA",1946,"2","4","3","MT","2","NA","2","10","NA","1","2","NA","NA",,"NA","NA","NA","NA","NA","NA","2","NA","NA","NA","20","2","2","3","2","NA","2","NA",1,1,0,0,0,587,1,0,0,0,0,0,0,0,0,0,1,"1",65,161,"1","2","2","NA"
"2012","MT",1641,35.1701149425287,"NA","2","2012","15","NA",1937,"2","4","1","MT","2","NA","1","7","NA","NA","NA","NA","3","5","NA","NA","NA","NA","NA","NA","2","2","NA","NA","23","2","2","3","2","NA","2","NA",1,1,0,0,0,1121,1,1450,0,0,0,11855,0,0,0,0,1,"1",74,164,"1","2","2","NA"
"2012","MT",1671,35.1701149425287,"NA","2","2012","9","NA",1953,"2","3","3","MT","1","NA","1","8","NA","1","2","NA","3","8","5","NA","NA","NA","NA","NA","2","NA","NA","NA","19","1","1","3","2","NA","2","NA",1,1,0,0,0,767,1,0,0,0,0,0,0,0,656,0,1,"1",58,167,"1","5","2","NA"
"2012","MT",1681,35.1701149425287,"NA","3","2012","15","NA",1935,"2","2","3","MT","2","NA","2","10","NA","1","2","1","3",,"40","NA","NA","NA","NA","NA","NA","NA","NA","NA","17","3","2","3","2","NA","2","NA",1,1,0,0,0,1840,1,1053,0,0,0,0,0,0,0,0,1,"1",76,168,"1","7","2","NA"
"2012","MT",1731,35.1701149425287,"NA","3","2012","14","NA",1977,"1","1","3","MT","2","NA","2","5","NA","1","2","NA","3","9","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","22","2","1","3","2","2","2","NA",1,1,0,0,0,1840,1,400,0,0,255,0,0,0,0,0,1,"1",34,173,"1","7","2","NA"
"2012","MT",1781,35.1701149425287,"NA","3","2012","10","NA",1931,"1","2","1","MT","2","NA","2","7","NA","2","2","NA","2","4","25","NA","NA","NA","NA","NA","2","NA","NA","NA","22","3","2","3","2","NA","2","NA",1,1,0,0,0,1775,1,0,0,0,0,7771,0,0,0,0,1,"1",80,178,"1","6","2","NA"
"2012","MT",1811,35.1701149425287,"NA","2","2012","13","NA",1934,"1","4","3","MT","2","NA","1","7","NA","NA","2","NA","3","9","40","NA","NA","NA","NA","1","2","2","NA","NA","20","3","1","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,9704,0,0,0,0,1,"1",77,181,"1","7","2","NA"
"2012","MT",1841,35.1701149425287,"NA","2","2012","15","NA",1987,"2","1","1","MT","2","NA","5","1","NA","NA","NA","NA","3","2","40","NA","p","NA","3","NA","2","2","1","NA","16","3","2","NA","2","NA","2","NA",1,1,11762,0,0,1840,1,0,0,0,0,0,0,0,0,0,1,"1",24,184,"1","5","2","NA"
"2012","MT",1871,35.1701149425287,"NA","3","2012","10","NA",1931,"2","2","3","MT","2","NA","2","10","NA","NA","2","NA","3","2","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","3","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,6931,0,0,0,0,1,"1",80,187,"1","5","2","NA"
"2012","MT",1881,35.1701149425287,"NA","2","2012","6","NA",1942,"2","2","3","MT","2","NA","2","10","NA","1","2","NA","3",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20","3","2","2","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",69,188,"1","7","2","NA"
"2012","MT",1901,35.1701149425287,"NA","3","2012","20","NA",1936,"2","4","3","MT","2","NA","1","10","NA","1","2","NA","NA",,"40","NA","NA","4","NA","1","2","NA","NA","NA","18","2","2","3","2","NA","2","NA",1,1,0,0,0,1010,1,0,0,0,0,3101,0,586,0,0,1,"1",75,190,"1","2","2","NA"
