"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PD020","PD030","PD050","PD060","PD070","PD080","PD090","PW010","PW020","PW030","PW040","PW050","PW060","PW070","PW080","PW090","PW100","PW110","PW120","PW130","PW140","PW150","PW160","PW170","PW180","PW190","PW200","PW210","PW220","PX010","PX020","PX030","PX040","PX050","PX200"
"2013","MT",21,35.6402647797306,"NA","2","2013","5","NA",1960,"2","2","1","MT","2","NA","2","10","NA","2","2","NA","3","5","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","20","2","1","3","2","NA","2","NA",1,1,0,0,0,984,1,564,0,0,0,0,0,0,0,0,1,"1","2","3","2","1","1","NA","5","NA","8","9","4","NA","NA","3","2","NA","NA","NA","5","8","3","10","1","1","5","7","9","2","1",52,2,"1","3","79.6234"
"2013","MT",121,35.6402647797306,"NA","2","2013","15","NA",1951,"1","1","1","MT","2","NA","1","1","NA","NA","NA","NA","3","7","NA","NA","b-e","NA","4","NA","2","2","NA","NA","18","2","2","3","2","NA","2","NA",1,1,8310,0,0,904,1,0,0,0,0,8397,0,0,0,0,1,"2","1","1","3","1","1","NA","7","NA","7","NA","NA","NA","3","4","2","4","NA","5","NA","8","NA","NA","1","NA","6","NA","9","NA","1",61,12,"1","6","37.7633"
"2013","MT",201,35.6402647797306,"NA","2","2013","10","NA",1932,"2","4","1","MT","1","NA","1","10","NA","1","2","NA","NA",,"NA","NA","NA","NA","NA","2","NA","NA","NA","NA","14","2","2","3","2","NA","2","NA",1,1,0,23,0,1968,1,1633,0,0,0,230,0,18,0,0,1,"1","NA","3","3","1","3","NA","9","NA","NA","NA","4","NA","NA","NA","3","NA","NA","NA","99","NA","4","NA","1","1","6","5","5","NA","1",80,20,"1","2","19.8319"
"2013","MT",241,35.6402647797306,"NA","2","2013","13","NA",1932,"1","1","1","MT","2","NA","0","7","NA","NA","NA","NA","3","6","40","NA","NA","NA","4","NA","1","2","NA","NA","17","1","2","3","2","NA","2","NA",1,1,0,0,0,887,1,261,0,0,0,19494,0,0,0,0,1,"1","1","1","2","3","1","NA","6","NA","7","9","3","NA","1","4","3","9","7","8","5","NA","NA","10","1","1","NA","3","10","1","1",80,24,"1","2","19.8149"
"2013","MT",261,35.6402647797306,"NA","2","2013","7","NA",1967,"2","2","1","MT","2","NA","5","10","NA","NA","2","NA","2","0 - 1","NA","NA","NA","NA","NA","NA","2","1","NA","NA","NA","2","1","2","2","NA","2","NA",1,1,1786,0,0,1833,1,0,0,0,0,0,0,0,0,0,1,"1","1","1","3","1","3","NA","7","9","7","9","NA","5","2","NA","2","NA","NA","7","8","5","NA","NA","1","NA","8","10","NA","1","1",45,26,"1","7","29.8828"
"2013","MT",441,35.6402647797306,"NA","2","2013","13","NA",1933,"2","2","NA","MT","2","NA","1","10","NA","1","2","NA","NA",,"NA","NA","NA","NA","NA","1","NA","NA","NA","NA","17","2","2","3","2","NA","2","NA",1,1,0,0,0,1968,1,0,0,0,0,0,0,0,0,0,1,"1","1","1","2","3","1","NA","8","10","7","9","NA","NA","2","5","2","NA","NA","6","5","2","5","9","1","1","0","10","9","1","1",79,44,"1","2","32.0975"
"2013","MT",511,35.6402647797306,"NA","3","2013","22","NA",1935,"2","2","1","MT","1","NA","1","11","NA","1","1","NA","NA",,"NA","NA","NA","NA","NA","NA","2","NA","NA","NA","17","4","2","3","2","NA","2","NA",1,1,0,0,0,362,1,0,0,0,0,6768,0,0,0,0,1,"1","1","1","3","2","1","NA","8","NA","2","NA","4","4","2","NA","NA","NA","5","0","NA","NA","10","10","1","1","NA","NA","9","1","1",77,51,"1","2","26.3254"
"2013","MT",531,35.6402647797306,"NA","2","2013","23","NA",1952,"2","2","3","MT","2","NA","2","10","NA","2","2","NA","NA","5","10","NA","NA","NA","NA","2","2","NA","NA","NA","17","1","1","3","2","NA","2","NA",1,1,0,0,0,1968,1,0,0,0,0,0,0,0,0,0,1,"1","2","1","3","1","1","NA","NA","10","9","7","NA","4","2","2","NA","9","NA","3","NA","2","5","5","NA","1","5","7","7","2","1",60,53,"1","7","27.9306"
"2013","MT",591,35.6402647797306,"NA","2","2013","12","NA",1948,"1","1","3","MT","2","NA","1","7","NA","1","2","NA","3","7","40","NA","NA","NA","3","1","2","2","NA","NA","NA","4","2","3","2","NA","2","NA",1,1,1946,0,0,0,1,0,0,0,0,8088,0,0,0,0,1,"1","2","1","3","1","1","NA","8","5","10","9","3","5","NA","NA","2","NA","8","9","NA","NA","NA","NA","1","NA","5","NA","9","1","1",64,59,"1","7","25.8406"
"2013","MT",631,35.6402647797306,"NA","2","2013","11","NA",1974,"2","2","1","MT","2","NA","3","5","NA","2","2","NA","3","4","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","16","2","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,0,1731,0,0,1295,0,0,1,"1","1","2","2","1","1","NA","NA","NA","3","8","2","2","NA","NA","4","NA","NA","NA","NA","5","6","NA","NA","NA","NA","8","NA","NA","1",38,63,"1","4","21.1116"
