"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PC170","PC180"
"2012","SK",301,486.997929606625,"NA","2","2012","20","1",1952,"1","2","3","SK","2","NA","3","1","NA","NA","NA","NA","1","3","45","NA","b-e","NA","11","1","2","2","NA","NA","23","3","2","3","2","NA","2","NA",1,1,7972,0,0,1758,0,16,0,0,0,0,0,3522,0,0,1,"1",59,30,"1","7","2","NA"
"2012","SK",391,486.997929606625,"NA","2","2012","10","4",1937,"1","1","1","SK","2","NA","5","7","NA","1","NA","NA","3","2","NA","NA","NA","NA","NA","1","2","NA","NA","NA","18","1","1","1","2","NA","2","NA",1,1,0,0,0,0,0,0,0,0,0,3100,939,0,0,0,1,"1",74,39,"1","NA","2","NA"
"2012","SK",471,486.997929606625,"NA","2","2012","20","1",1931,"2","4","1","SK","2","NA","3","7","NA","1","2","NA","3","4","NA","NA","NA","NA","NA","1","2","NA","NA","NA","19","3","2","3","2","NA","2","NA",1,1,1259,0,0,0,0,300,0,0,0,2909,916,0,0,0,1,"1",80,47,"1","2","2","NA"
"2012","SK",541,486.997929606625,"NA","2","2012","15","2",1931,"2","4","1","SK","2","NA","2","7","NA","1","NA","NA","3","6","NA","NA","NA","NA","NA","2","1","NA","NA","NA","24","3","2","3","2","NA","2","NA",1,1,312,0,0,4,0,0,0,0,0,4443,0,0,0,0,1,"1",80,54,"1","7","2","NA"
"2012","SK",711,486.997929606625,"NA","2","2012","20","2",1945,"2","2","3","SK","2","NA","3","7","NA","NA","NA","NA","3","2","NA","NA","NA","NA","12","NA","2","2","NA","NA","18","2","1","3","2","NA","2","NA",1,1,0,0,0,0,0,0,0,0,0,5455,1563,0,0,0,1,"1",66,71,"1","3","2","NA"
"2012","SK",841,486.997929606625,"NA","2","2012","8","1",1978,"1","1","3","SK","2","NA","3","1","NA","NA","NA","NA","3","8","NA","NA","g","NA","12","1","2","2","NA","NA","23","2","2","3","2","NA","2","NA",1,1,7152,0,0,2389,0,0,0,0,0,0,0,0,4238,0,1,"1",33,84,"1","6","2","NA"
"2012","SK",1541,486.997929606625,"NA","2","2012","16","1",1940,"2","5","1","SK","2","NA","5","7","NA","NA","NA","NA","3","3","40","NA","NA","NA","13","1","2","1","NA","2","19","2","2","2","2","NA","2","NA",1,1,0,0,0,0,0,0,0,0,0,9499,2622,0,0,0,1,"1",71,154,"1","8","2","NA"
"2012","SK",1721,486.997929606625,"NA","2","2012","10","1",1948,"1","2","2","SK","1","NA","5","1","NA","NA","NA","NA","3","2","38","NA","j","NA","8","1","2","2","NA","NA","19","2","2","3","2","NA","2","NA",1,1,7782,35,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",63,172,"1","2","2","NA"
"2012","SK",2641,486.997929606625,"NA","2","2012","10","2",1959,"1","2","3","SK","2","NA","5","1","NA","NA","NA","NA","3","0 - 1","38","NA","o","NA","8","1","2","2","NA","NA","19","2","2","3","2","NA","2","NA",1,1,21189,397,0,0,0,80,0,0,0,0,0,0,0,0,1,"1",52,264,"1","7","2","NA"
"2012","SK",3021,486.997929606625,"NA","2","2012","29","2",1951,"2","5","3","SK","1","NA","3","7","NA","1","NA","NA","3","5","NA","NA","NA","NA","NA","1","2","2","NA","NA","19","3","1","2","2","2","2","NA",1,1,3110,83,0,1512,0,0,0,0,1280,620,0,0,0,0,1,"1",60,302,"1","6","2","NA"
"2012","SK",3231,486.997929606625,"NA","2","2012","15","1",1983,"2","1","3","SK","2","NA","5","1","NA","1","NA","NA","3","0 - 1","40","NA","h","NA","11","1","2","NA","NA","NA","18","2","2","3","2","NA","2","NA",1,1,8678,504,0,2117,0,0,0,0,0,0,0,0,0,0,1,"1",28,323,"1","2","1","NA"
"2012","SK",3281,486.997929606625,"NA","2","2012","20","2",1944,"1","2","1","SK","2","NA","3","3","NA","NA","NA","NA","3","6","40","NA","a","NA","12","1","2","2","NA","NA","22","2","2","3","NA","NA","2","NA",1,1,0,0,0,2419,0,0,9940,0,0,796,0,0,0,0,1,"1",67,328,"1","2","2","NA"
"2012","SK",3401,486.997929606625,"NA","2","2012","3","1",1946,"2","4","1","SK","2","NA","2","7","NA","NA","2","NA","3",,"NA","NA","NA","NA","NA","1","1","2","NA","NA","19","3","1","3","2","NA","2","NA",1,1,0,0,0,2117,0,0,0,0,0,3758,400,0,0,0,1,"1",65,340,"1","2","2","NA"
"2012","SK",3441,486.997929606625,"NA","2","2012","25","2",1966,"1","2","3","SK","2","NA","3","5","NA","NA","NA","NA","2","5","50","NA","NA","NA","11","1","1","2","NA","NA","18","2","2","3","2","NA","2","NA",1,1,8138,924,0,2,0,0,0,0,702,0,0,0,0,0,1,"1",45,344,"1","2","2","NA"
